"surp","y_lower","y_upper","y","delta","psychometric","prev_word","target_word"
0,-12.5472058350988,11.8791261591325,0,-219.044829656702,"gaze_duration",TRUE,"wt-1"
0.1,-11.7317232065047,11.2729572873309,-0.0298528904070849,-219.044829656702,"gaze_duration",TRUE,"wt-1"
0.2,-10.9416458596307,10.3316946876369,0.235836370472924,-219.044829656702,"gaze_duration",TRUE,"wt-1"
0.3,-12.6406891528922,11.4381660958701,-0.0925997721991507,-219.044829656702,"gaze_duration",TRUE,"wt-1"
0.4,-11.9384350402215,10.531941121001,0.0905787209408402,-219.044829656702,"gaze_duration",TRUE,"wt-1"
0.5,-10.9181860688937,9.95392580277627,0.496548432510338,-219.044829656702,"gaze_duration",TRUE,"wt-1"
0.6,-12.4295033257935,10.2500184803058,0.348050741969644,-219.044829656702,"gaze_duration",TRUE,"wt-1"
0.7,-12.0628796017311,9.09534369742263,-0.103941163225556,-219.044829656702,"gaze_duration",TRUE,"wt-1"
0.8,-11.7208106803535,10.2576828265211,0.0969639589698943,-219.044829656702,"gaze_duration",TRUE,"wt-1"
0.9,-11.8424428918565,8.03525877582291,-0.150608778113991,-219.044829656702,"gaze_duration",TRUE,"wt-1"
1,-11.9862623142694,9.56455953833898,-0.037827856480277,-219.044829656702,"gaze_duration",TRUE,"wt-1"
1.1,-11.0266647586728,10.5371318542902,0.225584694251495,-219.044829656702,"gaze_duration",TRUE,"wt-1"
1.2,-10.1601908827492,8.21156087435534,-0.0309679311782247,-219.044829656702,"gaze_duration",TRUE,"wt-1"
1.3,-10.8698441650409,7.92719573601119,0.368423011614254,-219.044829656702,"gaze_duration",TRUE,"wt-1"
1.4,-10.2978023094595,7.56095405273587,0.039400841894718,-219.044829656702,"gaze_duration",TRUE,"wt-1"
1.5,-10.6967857081674,9.62708733040535,0.835136602877213,-219.044829656702,"gaze_duration",TRUE,"wt-1"
1.6,-11.6445379202835,8.17640442541418,0.139670445799567,-219.044829656702,"gaze_duration",TRUE,"wt-1"
1.7,-10.6995133218694,8.30158596548333,0.437032683940657,-219.044829656702,"gaze_duration",TRUE,"wt-1"
1.8,-10.0964910131831,8.00022351436377,0.594053210059485,-219.044829656702,"gaze_duration",TRUE,"wt-1"
1.9,-10.8069959641084,8.10790707145216,0.701051544942857,-219.044829656702,"gaze_duration",TRUE,"wt-1"
2,-10.3464496133859,7.42358360966898,0.400052815529676,-219.044829656702,"gaze_duration",TRUE,"wt-1"
2.1,-11.3901028606809,7.61930934004292,0.458639341485423,-219.044829656702,"gaze_duration",TRUE,"wt-1"
2.2,-10.6316123718684,7.87654956497968,0.733263772694812,-219.044829656702,"gaze_duration",TRUE,"wt-1"
2.3,-11.1122285857201,7.36059530860814,0.329462140195005,-219.044829656702,"gaze_duration",TRUE,"wt-1"
2.4,-9.46307452915786,7.05266955142719,0.836955794886336,-219.044829656702,"gaze_duration",TRUE,"wt-1"
2.5,-11.3360004357586,7.43759167930381,0.582561791478923,-219.044829656702,"gaze_duration",TRUE,"wt-1"
2.6,-10.8949864726571,7.43049165917043,0.669593949792699,-219.044829656702,"gaze_duration",TRUE,"wt-1"
2.7,-9.71015579285887,8.27634873060251,1.08778054260009,-219.044829656702,"gaze_duration",TRUE,"wt-1"
2.8,-9.86950326949687,6.92699812585471,0.773629255089872,-219.044829656702,"gaze_duration",TRUE,"wt-1"
2.9,-10.6973213666597,7.60283767432995,0.941145780340605,-219.044829656702,"gaze_duration",TRUE,"wt-1"
3,-9.25732189079872,7.96598286342083,1.3907960026564,-219.044829656702,"gaze_duration",TRUE,"wt-1"
3.1,-10.2937658004871,7.44664157492522,1.18849179545754,-219.044829656702,"gaze_duration",TRUE,"wt-1"
3.2,-9.37400827053844,7.49175584714374,1.06836488538863,-219.044829656702,"gaze_duration",TRUE,"wt-1"
3.3,-10.9991983273516,7.94456538932405,1.08217786426604,-219.044829656702,"gaze_duration",TRUE,"wt-1"
3.4,-9.25445060115152,8.36103763252495,1.20140490901085,-219.044829656702,"gaze_duration",TRUE,"wt-1"
3.5,-9.88936322267401,8.21728616851152,1.67284772743488,-219.044829656702,"gaze_duration",TRUE,"wt-1"
3.6,-10.6890067418957,8.77744851163865,1.86395503856579,-219.044829656702,"gaze_duration",TRUE,"wt-1"
3.7,-10.1966825283109,6.75303408361395,1.11152599731983,-219.044829656702,"gaze_duration",TRUE,"wt-1"
3.8,-9.80380758141604,8.03776849451916,1.87983501213074,-219.044829656702,"gaze_duration",TRUE,"wt-1"
3.9,-10.0068661767418,8.71743023965675,1.64056029040887,-219.044829656702,"gaze_duration",TRUE,"wt-1"
4,-8.40198652962513,7.75306784817175,1.99885425757537,-219.044829656702,"gaze_duration",TRUE,"wt-1"
4.1,-9.33026562484736,7.99130706270634,1.52313351323716,-219.044829656702,"gaze_duration",TRUE,"wt-1"
4.2,-8.58990458348072,7.73268731799885,1.77951157859445,-219.044829656702,"gaze_duration",TRUE,"wt-1"
4.3,-9.14219045723607,8.21425112738078,1.93680359987266,-219.044829656702,"gaze_duration",TRUE,"wt-1"
4.4,-9.37714866782409,8.53957875911044,1.77585062286718,-219.044829656702,"gaze_duration",TRUE,"wt-1"
4.5,-8.7002175766267,10.4751576166745,1.89249338613163,-219.044829656702,"gaze_duration",TRUE,"wt-1"
4.6,-9.28717304862019,10.0246175445049,2.09212872647268,-219.044829656702,"gaze_duration",TRUE,"wt-1"
4.7,-9.07763005172006,10.1249380843854,2.11954807816039,-219.044829656702,"gaze_duration",TRUE,"wt-1"
