"comparison","metrics","drop_zeros","prs_cor","prs_CI2.5","prs_CI97.5","prs_p_value","lm_cor","lm_CI2.5","lm_CI97.5","lm_p_value","brm_cor","brm_crl2.5","brm_crl97.5","brm_sd"
"motr_eyetr","gaze_duration",FALSE,0.787370447190479,0.772028642844159,0.801795275473776,0,0.78737044719048,0.76323179237348,0.81150910200748,0,0.7873454471875,0.763417375,0.81148305,0.0122310877639605
"motr_eyetr","gaze_duration",TRUE,0.775938995219294,0.759588316645803,0.791309533783939,0,0.775938995219294,0.750799009133201,0.801078981305387,0,0.77580446825,0.75091135,0.801130275,0.0127024675887618
"motr_eyetr","go_past_time",FALSE,0.729173346354385,0.710211652322464,0.747077810786072,0,0.729173346354384,0.702237910515604,0.756108782193163,0,0.7288912995625,0.7026828,0.755281025,0.0135858572485839
"motr_eyetr","go_past_time",TRUE,0.716206954429191,0.696136044502111,0.735159139046913,0,0.716206954429192,0.688248714390107,0.744165194468277,0,0.7163740831875,0.687921525,0.744125325,0.0142598101832491
"motr_eyetr","total_duration",FALSE,0.760097773204961,0.743042996430661,0.776165950166511,0,0.760097773204958,0.734613401314826,0.785582145095089,0,0.760265052,0.735249975,0.785259125,0.01279647158398
"motr_eyetr","total_duration",TRUE,0.753335802847922,0.735700938647424,0.769949967294502,0,0.75333580284792,0.72729830376759,0.77937330192825,0,0.7532642780625,0.7271338,0.778524075,0.0131563166114862
"motr_eyetr","FPReg",FALSE,0.245386238268534,0.208431735122934,0.281641084942573,0.00000000000000000000000000000000000473904017159886,0.245386238268536,0.207600827771183,0.283171648765888,0.00000000000000000000000000000000000473904017159701,0.245678916375,0.2077739,0.283032025,0.0190704355273438
"motr_eyetr","FPReg",TRUE,0.32254171528306,0.263333520692753,0.379329116284046,0.0000000000000000000000114291015923798,0.32254171528306,0.261162610755428,0.383920819810693,0.000000000000000000000011429101592378,0.322623639,0.260455775,0.384273125,0.0315284222549916
"eyetr_eyetr","gaze_duration",FALSE,0.914834920916029,0.908312780991095,0.920912338424255,0,0.915204143248331,0.899605099453322,0.93080318704334,0,0.91479885675,0.899536975,0.930531075,0.00796053037553687
"eyetr_eyetr","gaze_duration",TRUE,0.914626321463025,0.90808634576349,0.920720289827157,0,0.914626321463028,0.899009274469571,0.930243368456484,0,0.9146656063125,0.899037925,0.93042105,0.00797413551841371
"eyetr_eyetr","go_past_time",FALSE,0.913319001351148,0.90664067315718,0.919539764713725,0,0.913314184520033,0.897484795800738,0.929143573239327,0,0.9133193136875,0.8977505,0.928988225,0.00800078263071537
"eyetr_eyetr","go_past_time",TRUE,0.914626321463025,0.90808634576349,0.920720289827157,0,0.914626321463028,0.899009274469571,0.930243368456484,0,0.91459697025,0.899111975,0.930238075,0.007926286279455
"eyetr_eyetr","total_duration",FALSE,0.927183862840071,0.921564178743166,0.932415075283839,0,0.9274126085332,0.91293335464292,0.941891862423481,0,0.927131645375,0.912672975,0.941552075,0.00737830713995471
"eyetr_eyetr","total_duration",TRUE,0.914626321463025,0.90808634576349,0.920720289827157,0,0.914626321463028,0.899009274469571,0.930243368456484,0,0.9147505620625,0.89915475,0.930495075,0.00794842849492873
"eyetr_eyetr","FPReg",FALSE,0.741014892055616,0.723198283824948,0.757845870010953,0,0.739409589557683,0.713667556653251,0.765151622462115,0,0.74108218775,0.715694975,0.76663455,0.0130987249895895
"eyetr_eyetr","FPReg",TRUE,0.914626321463025,0.90808634576349,0.920720289827157,0,0.914626321463028,0.899009274469571,0.930243368456484,0,0.914537758375,0.89882465,0.9302641,0.00805588452334432
"motr_stats","freq",FALSE,-0.745368548542914,-0.762263795607456,-0.727458296649109,0,-0.745368548542906,-0.771471737109016,-0.719265359976795,0,-0.7454073283125,-0.771073675,-0.7190683,0.0132709266753286
"motr_stats","len",FALSE,0.864371182910055,0.854131779623842,0.873940686216186,0,0.864371182910055,0.844681616942121,0.884060748877988,0,0.86447128275,0.844639875,0.8842572,0.0101380652058682
"motr_stats","surp",FALSE,0.497761084249521,0.467745744249969,0.526629679015075,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000282636850984786,0.497761084249521,0.463800870386454,0.531721298112588,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000282636850984464,0.4976985118125,0.4639656,0.531690125,0.0175009922884905
"eyetr_stats","freq",FALSE,-0.806854561808029,-0.820090631701317,-0.792755584361914,0,-0.806854561808026,-0.829985741951477,-0.783723381664575,0,-0.807013242875,-0.8301365,-0.7841472,0.0117306761191822
"eyetr_stats","len",FALSE,0.859709132728671,0.849146243239584,0.869584564575254,0,0.85970913272867,0.839709078329976,0.879709187127364,0,0.8597596006875,0.83945775,0.879732625,0.0102134028470789
"eyetr_stats","surp",FALSE,0.568343882518754,0.541254792474315,0.594254461859348,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000985302849717678,0.568343882518754,0.536126996380673,0.600560768656835,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000985302849717678,0.5682263985625,0.535654925,0.600382275,0.0164422578453174
