expr_id,cond_id,para_nr,word,word_nr,response_true,sent_rg_id,sent_rg,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg
1,8,118,The,0,no,-1,other,no,1.0,550.0,550.0,550.0,550.0,550.0,1.0,0.0
1,8,118,father,1,no,-1,other,no,1.0,201.0,201.0,201.0,201.0,201.0,1.0,0.0
1,8,118,of,2,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,118,the,3,no,-1,other,no,1.0,201.0,201.0,201.0,201.0,201.0,1.0,0.0
1,8,118,pretty,4,no,-1,other,no,1.0,250.0,250.0,250.0,250.0,250.0,1.0,0.0
1,8,118,girl,5,no,-1,other,no,1.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,8,118,cleaned,6,no,-1,other,no,1.0,401.0,401.0,401.0,401.0,401.0,1.0,0.0
1,8,118,up,7,no,-1,other,no,1.0,451.0,451.0,451.0,451.0,451.0,1.0,0.0
1,8,118,the,8,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,118,house,9,no,-1,other,no,1.0,250.0,250.0,250.0,250.0,250.0,1.0,0.0
1,8,118,all,10,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,118,by,11,no,-1,other,no,1.0,302.0,302.0,302.0,302.0,302.0,1.0,0.0
1,8,118,himself,12,no,-1,other,no,1.0,198.0,198.0,198.0,198.0,198.0,1.0,0.0
1,8,118,last,13,no,-1,other,no,1.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,8,118,week.,14,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,117,Bill,0,yes,-1,other,yes,1.0,549.0,549.0,549.0,549.0,549.0,1.0,0.0
1,8,117,will,1,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,117,quit,2,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
