"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms","median","Q1","Q3"
"mean59","Adverb",2,"gaze_duration","MoTR",0.0386768419153605,-0.000000674907900000851,-0.07871821,0.0748635925,-0.076040223107491,-58.8896604843735,56.3385261507745,0.164158044296926,-18.9364265543352,19.1862269597151
"mean60","Adverb",-1,"go_past_time","MoTR",0.0144986377864497,0.0145252652457,-0.014066705,0.04290031,6.4392552812474,-6.23018216777902,18.8001113726231,6.37858154799216,2.04974218080746,10.8897602339837
"mean61","Adverb",0,"go_past_time","MoTR",0.0300780020081277,0.164194736875,0.104709125,0.223932725,80.6064684456427,49.7987398120792,115.211147651246,79.9758144786674,69.3667422103234,91.1949801674806
"mean62","Adverb",1,"go_past_time","MoTR",0.0315713681534616,0.1221351601775,0.0593821625,0.18309295,49.041088729131,23.4552701289914,74.450432117634,49.0863160599755,40.5761517528886,57.5250179879785
"mean63","Adverb",2,"go_past_time","MoTR",0.0444320257834462,0.0880634967738725,-0.0000105853472499994,0.1733612,115.50562862357,-0.0140878673857563,230.40475670481,115.284437657389,76.2838859646702,154.009759624645
"mean64","Adverb",-1,"go_past_time","G-Maze",0.055735644430488,-0.0167929582383,-0.1262822,0.09638751,-14.6285205726088,-109.770167893412,79.0104466385713,-13.2298136510868,-45.1934940852494,15.5036651635344
"mean65","Adverb",0,"go_past_time","G-Maze",0.057993172110621,0.15418538972275,0.0309282125,0.25917915,156.325662053833,30.0369724927899,276.046191714499,157.305352993484,115.68358896458,198.158548500782
"mean66","Adverb",1,"go_past_time","G-Maze",0.0346953249119908,0.0179458385873025,-0.05151145,0.084816545,16.9357755190234,-48.775622362843,80.6889362124969,16.814148314787,-4.54786099330769,37.9210929111092
"mean67","Adverb",2,"go_past_time","G-Maze",0.0399074274397462,0.03881270440987,-0.0423520725,0.114241125,33.7237708317477,-36.8096135478599,99.4259910307037,34.3315252449043,11.2894137592401,56.7030248850083
"mean68","Adverb",-1,"go_past_time","A-Maze",0.0396736351478003,0.027192562459435,-0.05139377,0.103409925,21.5261825075309,-45.3718116778518,82.6219834501038,22.1391131642693,-0.136273268146965,43.5602541071851
"mean69","Adverb",0,"go_past_time","A-Maze",0.0319689704542363,0.184276713775,0.119469675,0.244308875,160.092137801549,97.3901119982892,224.681569473164,159.602083891809,138.384869426642,181.35651552253
"mean70","Adverb",1,"go_past_time","A-Maze",0.0190779179514559,0.04466313399845,0.007038979,0.0832249275,35.0576600611845,5.55285299417376,65.452198723674,34.6414997870006,25.0165124945846,44.9839792617346
"mean71","Adverb",2,"go_past_time","A-Maze",0.0220242451968793,0.0060068558751875,-0.036608155,0.048947665,4.80386515720735,-28.9734281291472,39.0454485188508,4.87317053146046,-6.79695980533268,16.2640835228662
"mean72","Adverb",-1,"go_past_time","SPR",0.0246732069792039,-0.00659517177099,-0.05679603,0.0418723125,-1.95646089523122,-17.3516762375604,13.8926213313318,-2.12398283593018,-7.07291695188,3.23171514304511
"mean73","Adverb",0,"go_past_time","SPR",0.024365609202486,0.0145934723038675,-0.032409145,0.0635822075,4.51224131421252,-9.93269430999749,19.7112181334467,4.3924040172073,-0.57309692384122,9.36410721805684
"mean74","Adverb",1,"go_past_time","SPR",0.0213371497148503,0.06180724595425,0.020522405,0.1037094,18.3927334567353,5.78863854277656,32.0572721471548,18.233631904987,13.860795750331,22.7564052507649
"mean75","Adverb",2,"go_past_time","SPR",0.0268110084849045,-0.014435207834345,-0.0699236,0.039272165,-4.73364180495186,-23.1038001471563,14.4210125359447,-4.77951628000878,-10.7738488300896,0.9541126063816
"mean76","Adverb",-1,"total_duration","MoTR",0.0198677109156438,0.079786781285,0.041694685,0.119180075,38.3761758030559,19.6518358204136,57.8580318608988,38.5403788670373,31.8843284247424,44.7938053617361
"mean77","Adverb",0,"total_duration","MoTR",0.0286553294432338,0.18418530275,0.127111825,0.238701775,92.8751570463477,61.2845728523848,126.908907967739,92.566302874084,81.9692722763145,103.73863528087
"mean78","Adverb",1,"total_duration","MoTR",0.0314859239376842,0.069907648035,0.00886541025,0.131231525,27.4340592081589,3.45309592648374,51.8751454130298,27.3855749522263,19.197186938419,35.6967024457998
"mean79","Adverb",2,"total_duration","MoTR",0.038126717824841,0.00186214271935,-0.07446036,0.0740716225,1.53996121099903,-63.3779023544712,63.0000850316336,2.14631646286307,-19.5807527896833,23.0965012972574
"mean80","Adverb",-1,"FPReg","MoTR",0.208795350604973,-0.03043951017465,-0.446854225,0.386198575,-0.00251234763453526,-0.0365851955390406,0.0320134747019684,2.14631646286307,-19.5807527896833,23.0965012972574
"mean81","Adverb",0,"FPReg","MoTR",0.286615622273128,1.36566399375,0.820940525,1.942593,0.0503439763792731,0.0278019905529555,0.0758430536650556,2.14631646286307,-19.5807527896833,23.0965012972574
"mean82","Adverb",1,"FPReg","MoTR",0.355943119859502,1.8208009705,1.1210315,2.5382735,0.0316196492011285,0.0171303940425091,0.0491980564209405,2.14631646286307,-19.5807527896833,23.0965012972574
"mean83","Adverb",2,"FPReg","MoTR",0.183326288789144,0.58664900413925,0.2273148,0.949760825,0.0586069158800006,0.0239865401315531,0.0943996604293297,2.14631646286307,-19.5807527896833,23.0965012972574
