"surp","y_lower","y_upper","y","delta","psychometric","prev_word","target_word"
0,-14.3224634295971,9.11423001907013,0,-360.86163403054,"gaze_duration",TRUE,"wt-1"
0.1,-13.3226378457583,9.26722891480858,0.473981541251419,-360.86163403054,"gaze_duration",TRUE,"wt-1"
0.2,-11.78369652491,9.54842948947004,0.853772026790523,-360.86163403054,"gaze_duration",TRUE,"wt-1"
0.3,-8.63582699612186,9.15460722271615,1.39572360967429,-360.86163403054,"gaze_duration",TRUE,"wt-1"
0.4,-8.42238744651956,9.30516989507487,1.63035164570312,-360.86163403054,"gaze_duration",TRUE,"wt-1"
0.5,-9.15933717176802,10.5835399016985,2.17484967414265,-360.86163403054,"gaze_duration",TRUE,"wt-1"
0.6,-7.79763337775444,9.82042155084764,2.68199237601044,-360.86163403054,"gaze_duration",TRUE,"wt-1"
0.7,-8.09297724259926,10.2616584467302,2.88571294782395,-360.86163403054,"gaze_duration",TRUE,"wt-1"
0.8,-7.01310291732273,10.6803079381625,3.49142681624619,-360.86163403054,"gaze_duration",TRUE,"wt-1"
0.9,-6.64631829277084,10.8954830587872,3.51001212070366,-360.86163403054,"gaze_duration",TRUE,"wt-1"
1,-7.26558132411844,12.1048568793933,4.17820749991131,-360.86163403054,"gaze_duration",TRUE,"wt-1"
1.1,-5.36620875909426,12.780340747421,4.63157480231808,-360.86163403054,"gaze_duration",TRUE,"wt-1"
1.2,-5.45656953283935,13.7377611529771,4.78988320318683,-360.86163403054,"gaze_duration",TRUE,"wt-1"
1.3,-5.45782965789527,15.2604441407651,5.71459897576153,-360.86163403054,"gaze_duration",TRUE,"wt-1"
1.4,-5.48534433484724,14.7531466576701,5.36715012785407,-360.86163403054,"gaze_duration",TRUE,"wt-1"
1.5,-4.68036277949034,16.764567484447,6.05240962664828,-360.86163403054,"gaze_duration",TRUE,"wt-1"
1.6,-4.99090375841666,17.8593020023751,6.41768067243481,-360.86163403054,"gaze_duration",TRUE,"wt-1"
1.7,-4.34654642249467,17.4583329912543,6.60794638774877,-360.86163403054,"gaze_duration",TRUE,"wt-1"
1.8,-3.36480477530756,19.2640415612814,6.87478483881546,-360.86163403054,"gaze_duration",TRUE,"wt-1"
1.9,-3.83408637696891,19.3183699066969,6.88427778707273,-360.86163403054,"gaze_duration",TRUE,"wt-1"
2,-3.048962329657,21.3060713998108,7.51864035038182,-360.86163403054,"gaze_duration",TRUE,"wt-1"
2.1,-3.05238287749933,19.8238837902441,7.42140492855174,-360.86163403054,"gaze_duration",TRUE,"wt-1"
2.2,-3.10825481463837,21.9374298410456,7.29793488535222,-360.86163403054,"gaze_duration",TRUE,"wt-1"
2.3,-2.76508131127707,20.79549692168,7.17473573762504,-360.86163403054,"gaze_duration",TRUE,"wt-1"
2.4,-2.86029188389602,20.0144874538112,7.40010442906117,-360.86163403054,"gaze_duration",TRUE,"wt-1"
2.5,-2.0304695641064,21.417552528286,7.75490494705213,-360.86163403054,"gaze_duration",TRUE,"wt-1"
2.6,-2.15842602684842,19.4734585679801,7.2912147185736,-360.86163403054,"gaze_duration",TRUE,"wt-1"
2.7,-1.55448979970697,20.474005931511,7.95965043705223,-360.86163403054,"gaze_duration",TRUE,"wt-1"
2.8,-1.88086196854914,18.8640416520334,7.49674321083154,-360.86163403054,"gaze_duration",TRUE,"wt-1"
2.9,-1.59087307899421,17.704101103739,7.50800622232464,-360.86163403054,"gaze_duration",TRUE,"wt-1"
3,-1.59784997704367,17.7058201851645,7.52506125643947,-360.86163403054,"gaze_duration",TRUE,"wt-1"
3.1,-2.44954926484434,17.4032221301473,7.16661951787438,-360.86163403054,"gaze_duration",TRUE,"wt-1"
3.2,-0.925183633950155,15.8549587602107,7.38936630944187,-360.86163403054,"gaze_duration",TRUE,"wt-1"
3.3,-1.53716878861337,14.844167885716,6.98804167072115,-360.86163403054,"gaze_duration",TRUE,"wt-1"
3.4,-0.780195623492546,13.655416731235,6.76843154887155,-360.86163403054,"gaze_duration",TRUE,"wt-1"
3.5,-0.306902929833427,12.8381729415162,6.85371776129989,-360.86163403054,"gaze_duration",TRUE,"wt-1"
3.6,-1.0105622080365,13.350254613568,6.84533636328081,-360.86163403054,"gaze_duration",TRUE,"wt-1"
3.7,0.18106223960865,11.7592706646489,6.44623250943005,-360.86163403054,"gaze_duration",TRUE,"wt-1"
3.8,-0.403917090573941,11.352117512504,6.2998634379727,-360.86163403054,"gaze_duration",TRUE,"wt-1"
3.9,0.629285943050718,10.9212836064474,6.31305600186101,-360.86163403054,"gaze_duration",TRUE,"wt-1"
4,0.351783761319496,11.1688845235408,6.29569353761866,-360.86163403054,"gaze_duration",TRUE,"wt-1"
4.1,-0.7459015734986,10.9244428934675,5.85433724501507,-360.86163403054,"gaze_duration",TRUE,"wt-1"
4.2,0.358169306505204,10.8539784879752,5.82525012314863,-360.86163403054,"gaze_duration",TRUE,"wt-1"
4.3,0.479521463921287,10.0742598598206,5.4555265211888,-360.86163403054,"gaze_duration",TRUE,"wt-1"
4.4,1.4856698960383,11.1842191906528,6.0740592149578,-360.86163403054,"gaze_duration",TRUE,"wt-1"
4.5,1.67519610392662,11.4103202040505,5.73185429047317,-360.86163403054,"gaze_duration",TRUE,"wt-1"
4.6,1.45068898080154,10.3929783834099,5.557923036011,-360.86163403054,"gaze_duration",TRUE,"wt-1"
4.7,-0.444145515292917,10.8759321672591,5.52239387178082,-360.86163403054,"gaze_duration",TRUE,"wt-1"
4.8,0.688612208360723,11.6869775626781,5.75519053519849,-360.86163403054,"gaze_duration",TRUE,"wt-1"
