"surp","y_lower","y_upper","y","delta","psychometric","prev_word","target_word"
0,-6.12429245801314,8.35125641889744,0,-366.20989647885,"gaze_duration",TRUE,"wt-1"
0.1,-5.70808785882735,7.83986632896364,-0.229790201854541,-366.20989647885,"gaze_duration",TRUE,"wt-1"
0.2,-5.26305641195796,7.53667478850781,0.0850481272665888,-366.20989647885,"gaze_duration",TRUE,"wt-1"
0.3,-5.99518795501626,7.98960821294548,0.094241973318276,-366.20989647885,"gaze_duration",TRUE,"wt-1"
0.4,-5.43244594787296,7.38323421823037,0.02124032613807,-366.20989647885,"gaze_duration",TRUE,"wt-1"
0.5,-6.2720596808353,8.37603231970667,0.254033390917357,-366.20989647885,"gaze_duration",TRUE,"wt-1"
0.6,-6.70665434026375,7.58174963620701,0.231430493822359,-366.20989647885,"gaze_duration",TRUE,"wt-1"
0.7,-4.87802882629359,7.48601044448657,0.357680638477575,-366.20989647885,"gaze_duration",TRUE,"wt-1"
0.8,-5.09710133449823,8.26104598200226,0.366034572388799,-366.20989647885,"gaze_duration",TRUE,"wt-1"
0.9,-5.00382654845095,8.23843776043657,0.611122983584835,-366.20989647885,"gaze_duration",TRUE,"wt-1"
1,-5.62460535172482,8.77885929087739,0.686870245203693,-366.20989647885,"gaze_duration",TRUE,"wt-1"
1.1,-4.49820747195275,7.49784500492382,0.565293871475262,-366.20989647885,"gaze_duration",TRUE,"wt-1"
1.2,-4.12525622923971,8.63011576127531,0.758868136011699,-366.20989647885,"gaze_duration",TRUE,"wt-1"
1.3,-4.75835016270213,7.7772695403043,0.58561987239375,-366.20989647885,"gaze_duration",TRUE,"wt-1"
1.4,-5.33952645234996,7.45069011016989,0.743746063748745,-366.20989647885,"gaze_duration",TRUE,"wt-1"
1.5,-4.96748756865458,7.81973858917803,0.683434105891365,-366.20989647885,"gaze_duration",TRUE,"wt-1"
1.6,-4.52242248329475,8.25229836524289,1.12409770236343,-366.20989647885,"gaze_duration",TRUE,"wt-1"
