"","experiment","metric","measure","n_subj","n_item","Q1","median","Q3","failed_mean","power_Q1","power_median","power_Q3"
"1","Coordination","go_past_time","MoTR",186,16,18.1090226557984,25.1488549649679,32.2588907406967,0.0233333333333333,0.43298969072165,0.846938775510204,0.928571428571429
"2","Relative Clause","go_past_time","MoTR",186,16,28.2668684700325,36.7909003045261,45.0861895403858,0.0233333333333333,0.714285714285714,0.88659793814433,0.969387755102041
"3","Adverb","go_past_time","MoTR",186,16,69.3667422103234,79.9758144786674,91.1949801674806,0.0133333333333333,0.99,1,1
