,experiment,metric,measure,n_subj,n_item,effect_size,failed_mean,power
67,Relative Clause,go_past_time,A-Maze,10,24,0.08406708710725,0,0.3
68,Relative Clause,go_past_time,A-Maze,20,24,0.08406708710725,0.01,0.494949494949495
69,Relative Clause,go_past_time,A-Maze,40,24,0.08406708710725,0,0.8
70,Relative Clause,go_past_time,A-Maze,60,24,0.08406708710725,0.02,0.908163265306122
71,Relative Clause,go_past_time,A-Maze,80,24,0.08406708710725,0.04,0.90625
72,Relative Clause,go_past_time,A-Maze,100,24,0.08406708710725,0.02,0.928571428571429
73,Relative Clause,go_past_time,A-Maze,120,24,0.08406708710725,0.03,0.927835051546392
74,Relative Clause,go_past_time,A-Maze,140,24,0.08406708710725,0.02,0.989795918367347
75,Relative Clause,go_past_time,A-Maze,160,24,0.08406708710725,0,0.96
76,Relative Clause,go_past_time,A-Maze,180,24,0.08406708710725,0.06,0.946808510638298
77,Relative Clause,go_past_time,A-Maze,200,24,0.08406708710725,0.03,0.958762886597938
78,Relative Clause,go_past_time,SPR,10,24,-0.0070404369565075,0.005,0.0502020202020202
79,Relative Clause,go_past_time,SPR,20,24,-0.0070404369565075,0.01,0.0655102040816327
80,Relative Clause,go_past_time,SPR,40,24,-0.0070404369565075,0.04,0.104166666666667
81,Relative Clause,go_past_time,SPR,60,24,-0.0070404369565075,0.02,0.148339060710195
82,Relative Clause,go_past_time,SPR,80,24,-0.0070404369565075,0.03,0.254251700680272
83,Relative Clause,go_past_time,SPR,100,24,-0.0070404369565075,0.04,0.197916666666667
84,Relative Clause,go_past_time,SPR,120,24,-0.0070404369565075,0.09,0.285869565217391
85,Relative Clause,go_past_time,SPR,140,24,-0.0070404369565075,0.07,0.232192414431082
86,Relative Clause,go_past_time,SPR,160,24,-0.0070404369565075,0.05,0.327127659574468
87,Relative Clause,go_past_time,SPR,180,24,-0.0070404369565075,0.075,0.318256194483403
88,Relative Clause,go_past_time,SPR,200,24,-0.0070404369565075,0.065,0.323253150057274
89,Adverb,go_past_time,MoTR,10,24,0.164194736875,0,0.19
90,Adverb,go_past_time,MoTR,20,24,0.164194736875,0.02,0.36734693877551
91,Adverb,go_past_time,MoTR,40,24,0.164194736875,0,0.82
92,Adverb,go_past_time,MoTR,60,24,0.164194736875,0,0.95
93,Adverb,go_past_time,MoTR,80,24,0.164194736875,0.02,0.979591836734694
94,Adverb,go_past_time,MoTR,100,24,0.164194736875,0.01,0.97979797979798
