expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_pass_time,FPFix,FPReg
1,1,6,The,0,Yes,Yes,1,599.0,599.0,599.0,599.0,599.0,1.0,0.0
1,1,6,police,1,Yes,Yes,1,249.0,249.0,249.0,249.0,249.0,1.0,0.0
1,1,6,arrested,2,Yes,Yes,1,577.0,577.0,577.0,577.0,577.0,1.0,0.0
1,1,6,the,3,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,burglar,4,Yes,Yes,1,610.0,610.0,610.0,610.0,610.0,1.0,0.0
1,1,6,and,5,Yes,Yes,1,81.0,81.0,81.0,81.0,81.0,1.0,0.0
1,1,6,his,6,Yes,Yes,1,549.0,549.0,549.0,549.0,549.0,1.0,0.0
1,1,6,brother,7,Yes,Yes,1,251.0,251.0,251.0,251.0,251.0,1.0,0.0
1,1,6,phoned,8,Yes,Yes,1,403.0,403.0,403.0,403.0,403.0,1.0,0.0
1,1,6,a,9,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,lawyer,10,Yes,Yes,1,643.0,643.0,643.0,643.0,643.0,1.0,0.0
1,1,6,for,11,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,help.,12,Yes,Yes,1,251.0,251.0,251.0,251.0,251.0,1.0,0.0
1,1,7,The,0,No,No,1,107.0,256.0,107.0,256.0,256.0,1.0,0.0
1,1,7,knight,1,No,No,1,521.0,521.0,521.0,521.0,521.0,1.0,0.0
1,1,7,greeted,2,No,No,1,114.0,114.0,114.0,114.0,114.0,1.0,0.0
1,1,7,the,3,No,No,1,603.0,603.0,603.0,603.0,603.0,1.0,0.0
1,1,7,king,4,No,No,1,98.0,98.0,98.0,98.0,98.0,1.0,0.0
1,1,7,and,5,No,No,1,570.0,570.0,570.0,570.0,570.0,1.0,0.0
1,1,7,the,6,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,queen,7,No,No,1,703.0,703.0,703.0,703.0,703.0,1.0,0.0
1,1,7,waved,8,No,No,1,801.0,801.0,801.0,801.0,801.0,1.0,0.0
1,1,7,to,9,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,her,10,No,No,1,151.0,151.0,151.0,151.0,151.0,1.0,0.0
1,1,7,people,11,No,No,1,851.0,851.0,851.0,851.0,851.0,1.0,0.0
1,1,7,at,12,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,the,13,No,No,1,101.0,101.0,101.0,101.0,101.0,1.0,0.0
1,1,7,feast.,14,No,No,1,102.0,102.0,102.0,102.0,102.0,1.0,0.0
1,1,8,The,0,Yes,Yes,1,503.0,503.0,503.0,503.0,503.0,1.0,0.0
1,1,8,customer,1,Yes,Yes,1,817.0,817.0,817.0,817.0,817.0,1.0,0.0
1,1,8,complained,2,Yes,Yes,1,818.0,818.0,818.0,818.0,818.0,1.0,0.0
1,1,8,about,3,Yes,Yes,1,98.0,98.0,98.0,98.0,98.0,1.0,0.0
1,1,8,the,4,Yes,Yes,1,570.0,570.0,570.0,570.0,570.0,1.0,0.0
1,1,8,waiter,5,Yes,Yes,1,84.0,84.0,84.0,84.0,84.0,1.0,0.0
1,1,8,and,6,Yes,Yes,1,648.0,648.0,648.0,648.0,648.0,1.0,0.0
1,1,8,the,7,Yes,Yes,1,581.0,581.0,581.0,581.0,581.0,1.0,0.0
1,1,8,chef,8,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,gave,9,Yes,Yes,1,563.0,563.0,563.0,563.0,563.0,1.0,0.0
1,1,8,him,10,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,a,11,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,free,12,Yes,Yes,1,501.0,501.0,501.0,501.0,501.0,1.0,0.0
1,1,8,dessert.,13,Yes,Yes,1,445.0,445.0,445.0,445.0,445.0,1.0,0.0
1,2,9,The,0,Yes,Yes,1,580.0,580.0,580.0,580.0,580.0,1.0,0.0
1,2,9,crowd,1,Yes,Yes,1,132.0,132.0,132.0,132.0,132.0,1.0,0.0
1,2,9,cheered,2,Yes,Yes,1,619.0,619.0,619.0,619.0,619.0,1.0,0.0
1,2,9,for,3,Yes,Yes,1,133.0,133.0,133.0,133.0,133.0,1.0,0.0
1,2,9,the,4,Yes,Yes,1,436.0,436.0,436.0,436.0,436.0,1.0,0.0
1,2,9,"model,",5,Yes,Yes,1,218.0,218.0,218.0,218.0,218.0,1.0,0.0
1,2,9,and,6,Yes,Yes,1,409.0,409.0,409.0,409.0,409.0,1.0,0.0
1,2,9,the,7,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,9,designer,8,Yes,Yes,1,693.0,693.0,693.0,693.0,693.0,1.0,0.0
1,2,9,took,9,Yes,Yes,1,185.0,185.0,0.0,0.0,0.0,0.0,0.0
