submission_id,Index,ItemId,SubjectId,Word,experiment_duration,experiment_end_time,experiment_start_time,mousePositionX,mousePositionY,response,responseTime,wordPositionBottom,wordPositionLeft,wordPositionRight,wordPositionTop
7,0,4,cui, I ,123457,1674215676155,1674215552698,464,94,armpits,1442,26.0,0.0,10.0,2.0
7,0,4,cui, I ,123457,1674215676155,1674215552698,470,94,armpits,1542,26.0,0.0,10.0,2.0
7,1,4,cui, believe ,123457,1674215676155,1674215552698,477,92,armpits,1642,26.0,10.0,72.0,2.0
7,1,4,cui, believe ,123457,1674215676155,1674215552698,481,92,armpits,1742,26.0,10.0,72.0,2.0
7,1,4,cui, believe ,123457,1674215676155,1674215552698,482,93,armpits,1842,26.0,10.0,72.0,2.0
7,1,4,cui, believe ,123457,1674215676155,1674215552698,482,93,armpits,1943,26.0,10.0,72.0,2.0
7,1,4,cui, believe ,123457,1674215676155,1674215552698,482,93,armpits,2045,26.0,10.0,72.0,2.0
7,1,4,cui, believe ,123457,1674215676155,1674215552698,482,93,armpits,2146,26.0,10.0,72.0,2.0
7,1,4,cui, believe ,123457,1674215676155,1674215552698,483,93,armpits,2242,26.0,10.0,72.0,2.0
7,1,4,cui, believe ,123457,1674215676155,1674215552698,512,92,armpits,2342,26.0,10.0,72.0,2.0
7,2,4,cui, in ,123457,1674215676155,1674215552698,533,92,armpits,2442,26.0,70.0,90.0,2.0
7,2,4,cui, in ,123457,1674215676155,1674215552698,544,91,armpits,2542,26.0,70.0,90.0,2.0
7,3,4,cui, the ,123457,1674215676155,1674215552698,553,91,armpits,2642,26.0,90.0,121.0,2.0
7,3,4,cui, the ,123457,1674215676155,1674215552698,564,91,armpits,2742,26.0,90.0,121.0,2.0
7,3,4,cui, the ,123457,1674215676155,1674215552698,576,91,armpits,2842,26.0,90.0,121.0,2.0
7,3,4,cui, the ,123457,1674215676155,1674215552698,578,91,armpits,2943,26.0,90.0,121.0,2.0
7,3,4,cui, the ,123457,1674215676155,1674215552698,578,91,armpits,3043,26.0,90.0,121.0,2.0
7,3,4,cui, the ,123457,1674215676155,1674215552698,578,91,armpits,3149,26.0,90.0,121.0,2.0
7,3,4,cui, the ,123457,1674215676155,1674215552698,578,91,armpits,3244,26.0,90.0,121.0,2.0
7,4,4,cui, flesh ,123457,1674215676155,1674215552698,594,91,armpits,3342,26.0,120.0,164.0,2.0
7,4,4,cui, flesh ,123457,1674215676155,1674215552698,607,91,armpits,3441,26.0,120.0,164.0,2.0
7,4,4,cui, flesh ,123457,1674215676155,1674215552698,614,91,armpits,3543,26.0,120.0,164.0,2.0
7,5,4,cui, and ,123457,1674215676155,1674215552698,627,89,armpits,3642,26.0,164.0,199.0,2.0
7,5,4,cui, and ,123457,1674215676155,1674215552698,644,88,armpits,3743,26.0,164.0,199.0,2.0
7,5,4,cui, and ,123457,1674215676155,1674215552698,653,88,armpits,3842,26.0,164.0,199.0,2.0
7,6,4,cui, the ,123457,1674215676155,1674215552698,661,90,armpits,3947,26.0,198.0,229.0,2.0
7,6,4,cui, the ,123457,1674215676155,1674215552698,668,92,armpits,4041,26.0,198.0,229.0,2.0
7,6,4,cui, the ,123457,1674215676155,1674215552698,669,93,armpits,4149,26.0,198.0,229.0,2.0
7,6,4,cui, the ,123457,1674215676155,1674215552698,669,93,armpits,4243,26.0,198.0,229.0,2.0
7,6,4,cui, the ,123457,1674215676155,1674215552698,669,93,armpits,4348,26.0,198.0,229.0,2.0
7,6,4,cui, the ,123457,1674215676155,1674215552698,684,91,armpits,4441,26.0,198.0,229.0,2.0
7,7,4,cui, appetites; ,123457,1674215676155,1674215552698,718,88,armpits,4542,26.0,229.0,314.0,2.0
7,7,4,cui, appetites; ,123457,1674215676155,1674215552698,731,90,armpits,4641,26.0,229.0,314.0,2.0
7,7,4,cui, appetites; ,123457,1674215676155,1674215552698,745,91,armpits,4743,26.0,229.0,314.0,2.0
7,7,4,cui, appetites; ,123457,1674215676155,1674215552698,763,91,armpits,4841,26.0,229.0,314.0,2.0
7,7,4,cui, appetites; ,123457,1674215676155,1674215552698,767,91,armpits,4947,26.0,229.0,314.0,2.0
7,7,4,cui, appetites; ,123457,1674215676155,1674215552698,767,91,armpits,5041,26.0,229.0,314.0,2.0
7,7,4,cui, appetites; ,123457,1674215676155,1674215552698,767,91,armpits,5147,26.0,229.0,314.0,2.0
7,7,4,cui, appetites; ,123457,1674215676155,1674215552698,770,91,armpits,5241,26.0,229.0,314.0,2.0
7,8,4,cui," Seeing, ",123457,1674215676155,1674215552698,791,90,armpits,5342,26.0,312.0,377.0,2.0
7,8,4,cui," Seeing, ",123457,1674215676155,1674215552698,811,88,armpits,5441,26.0,312.0,377.0,2.0
7,8,4,cui," Seeing, ",123457,1674215676155,1674215552698,829,88,armpits,5542,26.0,312.0,377.0,2.0
7,9,4,cui," hearing, ",123457,1674215676155,1674215552698,846,88,armpits,5641,26.0,376.0,446.0,2.0
7,9,4,cui," hearing, ",123457,1674215676155,1674215552698,865,88,armpits,5741,26.0,376.0,446.0,2.0
7,9,4,cui," hearing, ",123457,1674215676155,1674215552698,868,88,armpits,5843,26.0,376.0,446.0,2.0
7,9,4,cui," hearing, ",123457,1674215676155,1674215552698,868,88,armpits,5942,26.0,376.0,446.0,2.0
7,9,4,cui," hearing, ",123457,1674215676155,1674215552698,868,88,armpits,6045,26.0,376.0,446.0,2.0
7,9,4,cui," hearing, ",123457,1674215676155,1674215552698,868,88,armpits,6145,26.0,376.0,446.0,2.0
7,9,4,cui," hearing, ",123457,1674215676155,1674215552698,884,86,armpits,6241,26.0,376.0,446.0,2.0
7,10,4,cui," feeling, ",123457,1674215676155,1674215552698,909,85,armpits,6342,26.0,445.0,504.0,2.0
7,10,4,cui," feeling, ",123457,1674215676155,1674215552698,926,85,armpits,6441,26.0,445.0,504.0,2.0
7,10,4,cui," feeling, ",123457,1674215676155,1674215552698,935,86,armpits,6543,26.0,445.0,504.0,2.0
