expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,right_bounded_rt2,go_past_time,FPFix,FPReg
2,1,19,"Interestingly,",0,No,No,1.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1.0,0.0
2,1,19,the,1,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,heaviest,2,No,No,1.0,539.0,539.0,539.0,539.0,539.0,539.0,1.0,0.0
2,1,19,isotopes,3,No,No,1.0,1161.0,1161.0,1161.0,1161.0,1161.0,1161.0,1.0,0.0
2,1,19,physicists,4,No,No,1.0,733.0,733.0,733.0,733.0,733.0,733.0,1.0,0.0
2,1,19,have,5,No,No,1.0,350.0,350.0,350.0,350.0,350.0,350.0,1.0,0.0
2,1,19,managed,6,No,No,1.0,642.0,642.0,642.0,642.0,642.0,642.0,1.0,0.0
2,1,19,to,7,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,synthesize,8,No,No,1.0,450.0,450.0,450.0,450.0,450.0,450.0,1.0,0.0
2,1,19,so,9,No,No,1.0,162.0,162.0,162.0,162.0,162.0,162.0,1.0,0.0
2,1,19,far,10,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,don't,11,No,No,1.0,405.0,405.0,405.0,405.0,405.0,405.0,1.0,0.0
2,1,19,behave,12,No,No,1.0,430.0,620.0,430.0,430.0,430.0,430.0,1.0,0.0
2,1,19,quite,13,No,No,1.0,319.0,319.0,319.0,319.0,319.0,509.0,1.0,1.0
2,1,19,like,14,No,No,1.0,375.0,375.0,375.0,375.0,375.0,375.0,1.0,0.0
2,1,19,science's,15,No,No,1.0,444.0,444.0,444.0,444.0,444.0,444.0,1.0,0.0
2,1,19,best,16,No,No,1.0,368.0,678.0,368.0,678.0,678.0,678.0,1.0,0.0
2,1,19,current,17,No,No,1.0,426.0,426.0,426.0,426.0,426.0,426.0,1.0,0.0
2,1,19,models,18,No,No,1.0,213.0,213.0,213.0,213.0,213.0,213.0,1.0,0.0
2,1,19,"predict,",19,No,No,1.0,583.0,583.0,583.0,583.0,583.0,583.0,1.0,0.0
2,1,19,so,20,No,No,1.0,342.0,342.0,342.0,342.0,342.0,342.0,1.0,0.0
2,1,19,stable,21,No,No,1.0,349.0,349.0,349.0,349.0,349.0,349.0,1.0,0.0
2,1,19,superheavy,22,No,No,1.0,1413.0,1413.0,1413.0,1413.0,1413.0,1413.0,1.0,0.0
2,1,19,nuclei,23,No,No,1.0,1185.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,are,24,No,No,1.0,274.0,274.0,274.0,274.0,274.0,1459.0,1.0,1.0
2,1,19,likely,25,No,No,1.0,366.0,366.0,366.0,366.0,366.0,366.0,1.0,0.0
2,1,19,to,26,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,be,27,No,No,1.0,170.0,170.0,170.0,170.0,170.0,170.0,1.0,0.0
2,1,19,full,28,No,No,1.0,297.0,297.0,297.0,297.0,297.0,297.0,1.0,0.0
2,1,19,of,29,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,19,surprises.,30,No,No,1.0,922.0,922.0,922.0,922.0,922.0,922.0,1.0,0.0
