expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,right_bounded_rt2,go_past_time,FPFix,FPReg
2,1,20,did,1,No,No,1.0,199.0,400.0,199.0,199.0,199.0,799.0,1.0,1.0
2,1,20,not,2,No,No,1.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,like,3,No,No,1.0,400.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,"it,",4,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,but,5,No,No,1.0,300.0,300.0,300.0,300.0,300.0,300.0,1.0,0.0
2,1,20,he,6,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,bore,7,No,No,1.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,up,8,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,well,9,No,No,1.0,749.0,749.0,749.0,749.0,749.0,2399.0,1.0,1.0
2,1,20,to,10,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,the,11,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,"work,",12,No,No,1.0,300.0,500.0,300.0,300.0,300.0,300.0,1.0,0.0
2,1,20,taking,13,No,No,1.0,250.0,451.0,250.0,250.0,250.0,250.0,1.0,0.0
2,1,20,pride,14,No,No,1.0,352.0,552.0,352.0,352.0,352.0,352.0,1.0,0.0
2,1,20,in,15,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,it.,16,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,It,17,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,was,18,No,No,1.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,a,19,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,monotonous,20,No,No,1.0,399.0,949.0,399.0,399.0,399.0,399.0,1.0,0.0
2,1,20,"life,",21,No,No,1.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,operating,22,No,No,1.0,400.0,950.0,400.0,400.0,400.0,400.0,1.0,0.0
2,1,20,with,23,No,No,1.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,machine-like,24,No,No,1.0,701.0,1252.0,701.0,701.0,701.0,701.0,1.0,0.0
2,1,20,regularity.,25,No,No,1.0,700.0,1099.0,700.0,1099.0,1099.0,5052.0,1.0,1.0
2,1,20,One,26,No,No,1.0,451.0,451.0,451.0,451.0,451.0,451.0,1.0,0.0
2,1,20,day,27,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,was,28,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,very,29,No,No,1.0,199.0,199.0,199.0,199.0,199.0,199.0,1.0,0.0
2,1,20,like,30,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,another.,31,No,No,1.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0
2,1,20,At,32,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,a,33,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20,certain,34,No,No,1.0,449.0,449.0,449.0,449.0,449.0,449.0,1.0,0.0
