sbm_id,expr_id,cond_id,para_nr,word_nr,word,t,x,y,wb,wt,wl,wr,response,trial_id,type,velocities,acceleration
53,2,1,2,0, Two ,636,128,48,47.0,27.0,94.0,132.0,No,10,fixation,0.0,0.0
53,2,1,2,0, Two ,686,120,45,47.0,27.0,94.0,132.0,No,10,saccade,0.1708800749063506,0.003417601498127012
53,2,1,2,0, Two ,736,116,43,47.0,27.0,94.0,132.0,No,10,fixation,0.08944271909999159,-0.0016287471161271802
53,2,1,2,0, Two ,782,116,43,47.0,27.0,94.0,132.0,No,10,fixation,0.0,-0.0019444069369563388
53,2,1,2,0, Two ,836,116,43,47.0,27.0,94.0,132.0,No,10,fixation,0.0,0.0
53,2,1,2,0, Two ,886,116,43,47.0,27.0,94.0,132.0,No,10,fixation,0.0,0.0
53,2,1,2,0, Two ,935,116,43,47.0,27.0,94.0,132.0,No,10,fixation,0.0,0.0
53,2,1,2,1, days ,982,132,40,47.0,27.0,132.0,175.0,No,10,saccade,0.346357885023398,0.007369316702625489
53,2,1,2,1, days ,1036,151,40,47.0,27.0,132.0,175.0,No,10,saccade,0.35185185185185186,0.00010174012645284959
53,2,1,2,1, days ,1086,164,40,47.0,27.0,132.0,175.0,No,10,saccade,0.26,-0.001837037037037037
53,2,1,2,2," later, ",1135,184,40,47.0,27.0,175.0,219.0,No,10,saccade,0.40816326530612246,0.003023740108288213
53,2,1,2,2," later, ",1181,201,40,47.0,27.0,175.0,219.0,No,10,saccade,0.3695652173913043,-0.0008390879981482203
53,2,1,2,3, the ,1236,225,40,47.0,27.0,219.0,249.0,No,10,saccade,0.43636363636363634,0.001214516708587855
53,2,1,2,4, British ,1286,249,40,47.0,27.0,250.0,305.0,No,10,saccade,0.48,0.0008727272727272728
53,2,1,2,4, British ,1334,260,39,47.0,27.0,250.0,305.0,No,10,saccade,0.23011168785806793,-0.0052060065029569174
53,2,1,2,4, British ,1386,273,39,47.0,27.0,250.0,305.0,No,10,saccade,0.25,0.0003824675411910013
53,2,1,2,4, British ,1436,289,38,47.0,27.0,250.0,305.0,No,10,saccade,0.32062439083762795,0.001412487816752559
53,2,1,2,5, astronomer ,1486,319,38,47.0,27.0,305.0,401.0,No,10,saccade,0.6,0.005587512183247441
53,2,1,2,5, astronomer ,1536,345,38,47.0,27.0,305.0,401.0,No,10,saccade,0.52,-0.0015999999999999992
53,2,1,2,5, astronomer ,1584,376,41,47.0,27.0,305.0,401.0,No,10,saccade,0.6488504792665598,0.002684384984719996
53,2,1,2,5, astronomer ,1631,395,42,47.0,27.0,305.0,401.0,No,10,saccade,0.40481484234979676,-0.005192247593973682
53,2,1,2,6, Richard ,1686,417,43,47.0,27.0,401.0,468.0,No,10,saccade,0.40041300991900436,-8.003331692349812e-05
53,2,1,2,6, Richard ,1736,437,44,47.0,27.0,401.0,468.0,No,10,saccade,0.4004996878900158,1.7335594202283478e-06
53,2,1,2,6, Richard ,1786,460,47,47.0,27.0,401.0,468.0,No,10,saccade,0.46389654018972803,0.001267937045994245
53,2,1,2,-1,,1832,486,51,,,,,No,10,saccade,0.5718672364333003,0.00234718904877331
53,2,1,2,-1,,1886,500,53,,,,,No,10,saccade,0.2618914004394621,-0.005740293259145152
53,2,1,2,-1,,1936,516,55,,,,,No,10,saccade,0.32249030993194194,0.0012119781898495975
53,2,1,2,-1,,1986,532,55,,,,,No,10,saccade,0.32,-4.9806198638838726e-05
53,2,1,2,-1,,2034,548,56,,,,,No,10,saccade,0.3339837404558625,0.0002913279261638017
53,2,1,2,-1,,2086,567,58,,,,,No,10,saccade,0.3674033302796692,0.0006426844196885907
53,2,1,2,-1,,2136,577,59,,,,,No,10,saccade,0.2009975124224178,-0.003328116357145028
53,2,1,2,-1,,2186,592,60,,,,,No,10,saccade,0.30066592756745814,0.0019933683029008066
53,2,1,2,-1,,2236,604,59,,,,,No,10,saccade,0.24083189157584592,-0.0011966807198322443
53,2,1,2,-1,,2284,616,56,,,,,No,10,saccade,0.2576941016011038,0.00035129604219287226
53,2,1,2,-1,,2336,628,51,,,,,No,10,saccade,0.25,-0.00014796349232891899
53,2,1,2,9, observing ,2386,636,48,47.0,27.0,594.0,677.0,No,10,saccade,0.1708800749063506,-0.001582398501872988
53,2,1,2,9, observing ,2436,647,46,47.0,27.0,594.0,677.0,No,10,saccade,0.223606797749979,0.0010545344568725678
53,2,1,2,9, observing ,2484,657,45,47.0,27.0,594.0,677.0,No,10,saccade,0.20937240877335186,-0.0002965497703463985
53,2,1,2,9, observing ,2531,665,43,47.0,27.0,594.0,677.0,No,10,saccade,0.1754513032177728,-0.0007217256501187034
53,2,1,2,9, observing ,2586,673,43,47.0,27.0,594.0,677.0,No,10,sliding,0.14545454545454545,-0.0005453955956950428
53,2,1,2,10, the ,2636,680,43,47.0,27.0,677.0,702.0,No,10,sliding,0.14,-0.00010909090909090869
53,2,1,2,10, the ,2686,684,43,47.0,27.0,677.0,702.0,No,10,fixation,0.08,-0.0012000000000000003
53,2,1,2,10, the ,2735,684,43,47.0,27.0,677.0,702.0,No,10,fixation,0.0,-0.0016326530612244899
53,2,1,2,9, observing ,2781,665,45,47.0,27.0,594.0,677.0,No,10,saccade,0.4153255037944087,0.00902881529987845
53,2,1,2,7, Carrington ,2836,544,45,47.0,27.0,468.0,557.0,No,10,saccade,2.2,0.03244862720373803
53,2,1,2,5, astronomer ,2886,351,45,47.0,27.0,305.0,401.0,No,10,saccade,3.86,0.03319999999999999
53,2,1,2,-1,,2936,266,56,,,,,No,10,saccade,1.7141761869772896,-0.04291647626045421
53,2,1,2,11, interesting ,2983,174,83,87.0,67.0,94.0,182.0,No,10,saccade,2.0400028404279924,0.006932481988312826
53,2,1,2,-1,,3036,104,99,,,,,No,10,saccade,1.3548168355483956,-0.01292803782791692
53,2,1,2,-1,,3086,91,101,,,,,No,10,saccade,0.26305892875931813,-0.02183515813578155
53,2,1,2,-1,,3136,89,101,,,,,No,10,fixation,0.04,-0.004461178575186363
53,2,1,2,-1,,3184,89,101,,,,,No,10,fixation,0.0,-0.0008333333333333334
53,2,1,2,-1,,3236,98,99,,,,,No,10,saccade,0.17729893187101706,0.0034095948436734047
53,2,1,2,-1,,3286,121,91,,,,,No,10,saccade,0.48703182647543686,0.0061946578920883955
53,2,1,2,11, interesting ,3336,128,87,87.0,67.0,94.0,182.0,No,10,saccade,0.16124515496597097,-0.0065157334301893174
53,2,1,2,11, interesting ,3384,129,87,87.0,67.0,94.0,182.0,No,10,fixation,0.020833333333333332,-0.002925246284013284
53,2,1,2,11, interesting ,3431,131,86,87.0,67.0,94.0,182.0,No,10,fixation,0.04757591441488915,0.0005689910868416131
53,2,1,2,11, interesting ,3486,140,86,87.0,67.0,94.0,182.0,No,10,saccade,0.16363636363636364,0.002110189985844991
53,2,1,2,11, interesting ,3536,173,83,87.0,67.0,94.0,182.0,No,10,saccade,0.6627216610312356,0.00998170594789744
53,2,1,2,12, sunspot ,3586,233,83,87.0,67.0,182.0,250.0,No,10,saccade,1.2,0.010745566779375286
53,2,1,2,13, group ,3635,281,83,87.0,67.0,251.0,302.0,No,10,saccade,0.9795918367346939,-0.004498125780924614
53,2,1,2,14, through ,3681,307,79,87.0,67.0,302.0,368.0,No,10,saccade,0.5718672364333003,-0.0088635782674216
53,2,1,2,14, through ,3736,316,77,87.0,67.0,302.0,368.0,No,10,saccade,0.16762808104168886,-0.007349802825302026
53,2,1,2,14, through ,3786,324,75,87.0,67.0,302.0,368.0,No,10,saccade,0.1649242250247064,-5.4077120339648956e-05
53,2,1,2,14, through ,3834,327,75,87.0,67.0,302.0,368.0,No,10,fixation,0.0625,-0.0021338380213480504
53,2,1,2,14, through ,3881,327,75,87.0,67.0,302.0,368.0,No,10,fixation,0.0,-0.0013297872340425532
53,2,1,2,14, through ,3944,327,75,87.0,67.0,302.0,368.0,No,10,fixation,0.0,0.0
53,2,1,2,14, through ,3991,327,75,87.0,67.0,302.0,368.0,No,10,fixation,0.0,0.0
53,2,1,2,14, through ,4039,327,75,87.0,67.0,302.0,368.0,No,10,fixation,0.0,0.0
53,2,1,2,14, through ,4086,339,75,87.0,67.0,302.0,368.0,No,10,saccade,0.2553191489361702,0.005432322317790855
53,2,1,2,16, telescope ,4132,400,73,87.0,67.0,396.0,478.0,No,10,saccade,1.3267995234493155,0.023293051619850985
53,2,1,2,16, telescope ,4186,438,80,87.0,67.0,396.0,478.0,No,10,saccade,0.7155436698652465,-0.011319552844149426
53,2,1,2,16, telescope ,4236,468,80,87.0,67.0,396.0,478.0,No,10,saccade,0.6,-0.0023108733973049313
53,2,1,2,17, when ,4285,492,80,87.0,67.0,478.0,526.0,No,10,saccade,0.4897959183673469,-0.002249062890462307
53,2,1,2,17, when ,4331,504,80,87.0,67.0,478.0,526.0,No,10,saccade,0.2608695652173913,-0.004976659851085992
53,2,1,2,17, when ,4380,505,80,87.0,67.0,478.0,526.0,No,10,fixation,0.02040816326530612,-0.004907375550042554
53,2,1,2,17, when ,4441,505,80,87.0,67.0,478.0,526.0,No,10,fixation,0.0,-0.00033456005352960856
53,2,1,2,17, when ,4487,505,80,87.0,67.0,478.0,526.0,No,10,fixation,0.0,0.0
53,2,1,2,17, when ,4534,507,80,87.0,67.0,478.0,526.0,No,10,fixation,0.0425531914893617,0.0009053870529651426
53,2,1,2,17, when ,4582,523,82,87.0,67.0,478.0,526.0,No,10,saccade,0.3359274061791062,0.006111962806036344
53,2,1,2,18, he ,4636,545,85,87.0,67.0,526.0,551.0,No,10,saccade,0.4111778390958244,0.001393526535494781
53,2,1,2,19, saw ,4686,571,88,87.0,67.0,551.0,588.0,No,10,saccade,0.523450093132096,0.0022454450807254324
53,2,1,2,-1,,4736,602,91,,,,,No,10,saccade,0.6228964600958975,0.0019889273392760297
53,2,1,2,-1,,4782,633,97,,,,,No,10,saccade,0.6864197132107367,0.0013809402851051999
53,2,1,2,-1,,4836,647,102,,,,,No,10,saccade,0.27529756939478717,-0.007613373033628695
53,2,1,2,-1,,4886,654,103,,,,,No,10,sliding,0.1414213562373095,-0.002677524263149553
53,2,1,2,-1,,4934,672,105,,,,,No,10,saccade,0.37730771408905905,0.004914299121911449
53,2,1,2,-1,,4981,687,102,,,,,No,10,saccade,0.3254693306548586,-0.0011029443283872434
53,2,1,2,-1,,5036,708,100,,,,,No,10,saccade,0.38354587472234525,0.0010559371648633934
53,2,1,2,-1,,5086,716,97,,,,,No,10,saccade,0.1708800749063506,-0.004253315996319893
53,2,1,2,-1,,5136,727,91,,,,,No,10,saccade,0.25059928172283336,0.0015943841363296552
53,2,1,2,22, described ,5182,727,90,87.0,67.0,656.0,739.0,No,10,fixation,0.021739130434782608,-0.004975220680175017
53,2,1,2,22, described ,5236,724,81,87.0,67.0,656.0,739.0,No,10,saccade,0.17568209223157663,0.0028507955888295187
53,2,1,2,22, described ,5286,714,75,87.0,67.0,656.0,739.0,No,10,saccade,0.23323807579381203,0.001151119671244708
53,2,1,2,22, described ,5336,706,74,87.0,67.0,656.0,739.0,No,10,saccade,0.16124515496597097,-0.0014398584165568212
53,2,1,2,22, described ,5382,677,71,87.0,67.0,656.0,739.0,No,10,saccade,0.6337991190049239,0.010272912261716368
53,2,1,2,21, he ,5436,652,67,87.0,67.0,631.0,656.0,No,10,saccade,0.4688514407841542,-0.0030545866337179576
53,2,1,2,-1,,5486,647,66,,,,,No,10,sliding,0.1019803902718557,-0.00733742101024597
53,2,1,2,-1,,5536,647,66,,,,,No,10,fixation,0.0,-0.002039607805437114
53,2,1,2,-1,,5585,647,66,,,,,No,10,fixation,0.0,0.0
53,2,1,2,-1,,5632,647,66,,,,,No,10,fixation,0.0,0.0
53,2,1,2,-1,,5682,648,66,,,,,No,10,fixation,0.02,0.0004
53,2,1,2,-1,,5736,650,66,,,,,No,10,fixation,0.037037037037037035,0.0003155006858710562
53,2,1,2,-1,,5786,650,66,,,,,No,10,fixation,0.0,-0.0007407407407407407
53,2,1,2,21, he ,5833,651,67,87.0,67.0,631.0,656.0,No,10,fixation,0.030089650263257342,0.0006402053247501563
53,2,1,2,21, he ,5881,652,67,87.0,67.0,631.0,656.0,No,10,fixation,0.020833333333333332,-0.00019283993604008354
53,2,1,2,21, he ,5936,653,69,87.0,67.0,631.0,656.0,No,10,fixation,0.040655781409087086,0.00036040814683188643
53,2,1,2,22, described ,5986,656,71,87.0,67.0,656.0,739.0,No,10,fixation,0.07211102550927978,0.0006291048820038539
53,2,1,2,22, described ,6036,664,73,87.0,67.0,656.0,739.0,No,10,saccade,0.1649242250247064,0.0018562639903085326
53,2,1,2,22, described ,6082,690,80,87.0,67.0,656.0,739.0,No,10,saccade,0.5853440007754895,0.009139560342408329
53,2,1,2,22, described ,6136,725,83,87.0,67.0,656.0,739.0,No,10,saccade,0.6505247433426036,0.0012070507882798896
53,2,1,2,23, as ,6186,744,85,87.0,67.0,739.0,758.0,No,10,saccade,0.382099463490856,-0.005368505597034952
53,2,1,2,23, as ,6236,740,85,87.0,67.0,739.0,758.0,No,10,fixation,0.08,-0.006041989269817119
53,2,1,2,-1,,6283,681,93,,,,,No,10,saccade,1.2668064380088677,0.02525120080869931
53,2,1,2,33, the ,6336,516,108,127.0,107.0,514.0,544.0,No,10,saccade,3.126045570902055,0.0350799836394941
53,2,1,2,27, intensely ,6386,282,108,127.0,107.0,222.0,298.0,No,10,saccade,4.68,0.031079088581958896
53,2,1,2,25, patches ,6436,148,111,127.0,107.0,134.0,202.0,No,10,saccade,2.6806715576511793,-0.039986568846976406
53,2,1,2,24," ""two ",6486,124,111,127.0,107.0,94.0,133.0,No,10,saccade,0.48,-0.044013431153023586
53,2,1,2,24," ""two ",6534,114,107,127.0,107.0,94.0,133.0,No,10,saccade,0.22438186696393767,-0.005325377771584631
53,2,1,2,-1,,6582,104,103,,,,,No,10,saccade,0.22438186696393767,0.0
53,2,1,2,-1,,6636,100,102,,,,,No,10,fixation,0.07635380788180852,-0.0027412603533727617
53,2,1,2,-1,,6686,100,102,,,,,No,10,fixation,0.0,-0.0015270761576361704
53,2,1,2,-1,,6736,100,103,,,,,No,10,fixation,0.02,0.0004
53,2,1,2,24," ""two ",6783,108,113,127.0,107.0,94.0,133.0,No,10,saccade,0.2724733718056531,0.005371773868205385
53,2,1,2,24," ""two ",6836,113,116,127.0,107.0,94.0,133.0,No,10,sliding,0.11001796028010001,-0.0030651964438783603
53,2,1,2,24," ""two ",6886,116,119,127.0,107.0,94.0,133.0,No,10,fixation,0.0848528137423857,-0.0005033029307542863
53,2,1,2,24," ""two ",6936,116,119,127.0,107.0,94.0,133.0,No,10,fixation,0.0,-0.0016970562748477138
53,2,1,2,24," ""two ",6986,123,118,127.0,107.0,94.0,133.0,No,10,sliding,0.1414213562373095,0.00282842712474619
53,2,1,2,25, patches ,7032,164,118,127.0,107.0,134.0,202.0,No,10,saccade,0.8913043478260869,0.016301804164973423
53,2,1,2,26, of ,7086,201,118,127.0,107.0,202.0,222.0,No,10,saccade,0.6851851851851852,-0.0038170215303870683
53,2,1,2,26, of ,7136,220,117,127.0,107.0,202.0,222.0,No,10,saccade,0.38052595180880894,-0.006093184667527526
53,2,1,2,27, intensely ,7186,225,117,127.0,107.0,222.0,298.0,No,10,sliding,0.1,-0.005610519036176178
53,2,1,2,27, intensely ,7231,232,117,127.0,107.0,222.0,298.0,No,10,saccade,0.15555555555555556,0.0012345679012345679
53,2,1,2,27, intensely ,7286,241,119,127.0,107.0,222.0,298.0,No,10,saccade,0.16762808104168886,0.00021950046338424184
53,2,1,2,27, intensely ,7336,272,123,127.0,107.0,222.0,298.0,No,10,saccade,0.6251399843235114,0.009150238065636451
53,2,1,2,28, bright ,7386,304,127,127.0,107.0,298.0,348.0,No,10,saccade,0.6449806198638839,0.0003968127108074504
53,2,1,2,28, bright ,7435,319,127,127.0,107.0,298.0,348.0,No,10,saccade,0.30612244897959184,-0.006915472875189633
53,2,1,2,28, bright ,7486,324,127,127.0,107.0,298.0,348.0,No,10,fixation,0.09803921568627451,-0.004080063397908183
53,2,1,2,28, bright ,7536,336,124,127.0,107.0,298.0,348.0,No,10,saccade,0.24738633753705963,0.0029869424370157025
