"surp","y_lower","y_upper","y","delta","psychometric","prev_word","target_word"
0,-14.4357669252055,10.9953342248008,0,-222.423955344845,"gaze_duration",TRUE,"wt-1"
0.1,-12.9112208189691,9.98008862836429,0.0033881923318404,-222.423955344845,"gaze_duration",TRUE,"wt-1"
0.2,-13.8627120018238,11.4897721830352,-0.467139673388687,-222.423955344845,"gaze_duration",TRUE,"wt-1"
0.3,-12.8312597942757,10.975652393134,-0.128755048839309,-222.423955344845,"gaze_duration",TRUE,"wt-1"
0.4,-13.4744476359365,10.8876927216606,0.0894620042665792,-222.423955344845,"gaze_duration",TRUE,"wt-1"
0.5,-13.2612748534401,10.8091938092356,-0.0319230420156202,-222.423955344845,"gaze_duration",TRUE,"wt-1"
0.6,-13.326760022055,11.3518105802677,0.217659969484885,-222.423955344845,"gaze_duration",TRUE,"wt-1"
0.7,-12.8208458297609,10.4381512165867,0.523795552746748,-222.423955344845,"gaze_duration",TRUE,"wt-1"
0.8,-11.7115938934194,9.24683377750395,0.221464303922914,-222.423955344845,"gaze_duration",TRUE,"wt-1"
0.9,-11.2341684344636,10.358122699839,0.162125343849539,-222.423955344845,"gaze_duration",TRUE,"wt-1"
1,-10.7532489364202,8.35509687686459,0.559217965713174,-222.423955344845,"gaze_duration",TRUE,"wt-1"
1.1,-10.2910842426002,10.1829888855615,0.413261255162183,-222.423955344845,"gaze_duration",TRUE,"wt-1"
1.2,-11.1300840538954,9.35708579179521,0.899933660297847,-222.423955344845,"gaze_duration",TRUE,"wt-1"
1.3,-11.9997915621913,10.1199374902693,0.412441732589343,-222.423955344845,"gaze_duration",TRUE,"wt-1"
1.4,-11.0242086565004,9.320270937381,0.282482836813074,-222.423955344845,"gaze_duration",TRUE,"wt-1"
1.5,-11.0940559398954,10.3580051874267,0.608592111765176,-222.423955344845,"gaze_duration",TRUE,"wt-1"
1.6,-10.0273861924875,8.34322765892475,0.565768326270756,-222.423955344845,"gaze_duration",TRUE,"wt-1"
1.7,-9.43081551018787,9.60942574170375,0.386749795506063,-222.423955344845,"gaze_duration",TRUE,"wt-1"
1.8,-7.91174014258107,8.89429791056534,1.05307099595584,-222.423955344845,"gaze_duration",TRUE,"wt-1"
1.9,-9.20076004481544,9.20998814516537,1.2296558340112,-222.423955344845,"gaze_duration",TRUE,"wt-1"
2,-6.95597656736669,10.6374888701182,1.19477798916813,-222.423955344845,"gaze_duration",TRUE,"wt-1"
2.1,-8.61052496687009,8.51860878157026,1.26837815513991,-222.423955344845,"gaze_duration",TRUE,"wt-1"
2.2,-8.84942933471856,10.7819263878916,1.36509776669169,-222.423955344845,"gaze_duration",TRUE,"wt-1"
2.3,-9.1676081188474,8.21339504209766,0.674497359935032,-222.423955344845,"gaze_duration",TRUE,"wt-1"
