expr_id,cond_id,para_nr,word,word_nr,response_true,sent_rg_id,sent_rg,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg
1,8,111,stand,5,yes,-1,other,yes,1.0,355.0,355.0,355.0,355.0,355.0,1.0,0.0
1,8,111,by,6,yes,-1,other,yes,1.0,334.0,334.0,334.0,334.0,334.0,1.0,0.0
1,8,111,himself,7,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,111,for,8,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,111,the,9,yes,-1,other,yes,1.0,322.0,322.0,322.0,322.0,322.0,1.0,0.0
1,8,111,first,10,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,111,time,11,yes,-1,other,yes,1.0,353.0,353.0,353.0,353.0,353.0,1.0,0.0
1,8,111,last,12,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,111,week.,13,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,64,Mike,0,no,-1,other,no,1.0,801.0,801.0,801.0,801.0,801.0,1.0,0.0
1,4,64,watered,1,no,-1,other,no,1.0,686.0,686.0,686.0,686.0,686.0,1.0,0.0
1,4,64,the,2,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,64,flower,3,no,-1,other,no,1.0,382.0,382.0,382.0,382.0,382.0,1.0,0.0
1,4,64,he,4,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,64,will,5,no,-1,other,no,1.0,337.0,337.0,337.0,337.0,337.0,1.0,0.0
1,4,64,sell,6,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,64,"tomorrow,",7,no,0,Adverb,no,1.0,445.0,445.0,445.0,445.0,445.0,1.0,0.0
1,4,64,but,8,no,1,AdverP1,no,1.0,288.0,288.0,288.0,288.0,288.0,1.0,0.0
1,4,64,he,9,no,1,AdverP1,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,64,forgot,10,no,1,AdverP1,no,1.0,333.0,333.0,333.0,333.0,333.0,1.0,0.0
1,4,64,to,11,no,2,AdverP2,no,1.0,313.0,313.0,313.0,313.0,313.0,1.0,0.0
1,4,64,water,12,no,2,AdverP2,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,64,the,13,no,2,AdverP2,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,64,bush.,14,no,2,AdverP2,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,52,Sue,0,yes,-1,other,yes,1.0,437.0,437.0,0.0,0.0,0.0,0.0,0.0
1,3,52,insulted,1,yes,-1,other,yes,1.0,1431.0,1967.0,1431.0,1967.0,2404.0,1.0,1.0
1,3,52,the,2,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,52,candidate,3,yes,-1,other,yes,1.0,470.0,470.0,470.0,470.0,470.0,1.0,0.0
1,3,52,she,4,yes,-1,other,yes,1.0,384.0,384.0,384.0,384.0,384.0,1.0,0.0
1,3,52,will,5,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,52,debate,6,yes,-1,other,yes,1.0,407.0,407.0,407.0,407.0,407.0,1.0,0.0
1,3,52,"yesterday,",7,yes,0,Adverb,yes,1.0,791.0,791.0,791.0,791.0,791.0,1.0,0.0
1,3,52,but,8,yes,1,AdverP1,yes,1.0,388.0,388.0,388.0,388.0,388.0,1.0,0.0
1,3,52,she,9,yes,1,AdverP1,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,52,wishes,10,yes,1,AdverP1,yes,1.0,355.0,355.0,355.0,355.0,355.0,1.0,0.0
1,3,52,she,11,yes,2,AdverP2,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,52,hadn't.,12,yes,2,AdverP2,yes,1.0,453.0,453.0,453.0,453.0,453.0,1.0,0.0
1,3,50,Robert,0,no,-1,other,no,1.0,437.0,437.0,437.0,437.0,437.0,1.0,0.0
1,3,50,will,1,no,-1,other,no,1.0,359.0,359.0,359.0,359.0,359.0,1.0,0.0
1,3,50,meet,2,no,-1,other,no,1.0,319.0,743.0,319.0,319.0,319.0,1.0,0.0
1,3,50,the,3,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,50,friend,4,no,-1,other,no,1.0,332.0,755.0,332.0,332.0,332.0,1.0,0.0
1,3,50,he,5,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,50,phoned,6,no,-1,other,no,1.0,333.0,2001.0,333.0,333.0,333.0,1.0,0.0
1,3,50,"tomorrow,",7,no,0,Adverb,no,1.0,497.0,914.0,497.0,497.0,497.0,1.0,0.0
1,3,50,but,8,no,1,AdverP1,no,1.0,420.0,420.0,420.0,420.0,420.0,1.0,0.0
1,3,50,he,9,no,1,AdverP1,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,50,doesn't,10,no,1,AdverP1,no,1.0,508.0,508.0,508.0,508.0,508.0,1.0,0.0
1,3,50,want,11,no,1,AdverP1,no,1.0,661.0,661.0,661.0,661.0,3593.0,1.0,1.0
1,3,50,to.,12,no,2,AdverP2,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,32,The,0,yes,-1,other,yes,1.0,502.0,502.0,0.0,0.0,0.0,0.0,0.0
1,1,32,producer,1,yes,-1,other,yes,1.0,382.0,831.0,382.0,831.0,1333.0,1.0,1.0
1,1,32,replaced,2,yes,-1,other,yes,1.0,413.0,413.0,413.0,413.0,413.0,1.0,0.0
1,1,32,the,3,yes,-1,other,yes,1.0,309.0,309.0,309.0,309.0,309.0,1.0,0.0
1,1,32,actor,4,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,32,and,5,yes,-1,other,yes,1.0,309.0,309.0,309.0,309.0,309.0,1.0,0.0
1,1,32,the,6,yes,-1,other,yes,1.0,351.0,351.0,351.0,351.0,351.0,1.0,0.0
1,1,32,actress,7,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,32,quit,8,yes,0,Verb,yes,1.0,367.0,367.0,367.0,367.0,367.0,1.0,0.0
1,1,32,the,9,yes,1,VerbP1,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,32,movie,10,yes,1,VerbP1,yes,1.0,370.0,370.0,370.0,370.0,370.0,1.0,0.0
1,1,32,after,11,yes,2,VerbP2,yes,1.0,367.0,367.0,367.0,367.0,367.0,1.0,0.0
1,1,32,the,12,yes,2,VerbP2,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,32,fight.,13,yes,2,VerbP2,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,28,The,0,no,-1,other,no,1.0,548.0,548.0,548.0,548.0,548.0,1.0,0.0
1,1,28,little,1,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,28,girl,2,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,28,fed,3,no,-1,other,no,1.0,317.0,317.0,317.0,317.0,317.0,1.0,0.0
1,1,28,her,4,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,28,pet,5,no,-1,other,no,1.0,318.0,318.0,318.0,318.0,318.0,1.0,0.0
1,1,28,cat,6,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,28,and,7,no,-1,other,no,1.0,305.0,305.0,305.0,305.0,305.0,1.0,0.0
1,1,28,her,8,no,-1,other,no,1.0,363.0,363.0,363.0,363.0,363.0,1.0,0.0
1,1,28,dog,9,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,28,wanted,10,no,0,Verb,no,1.0,278.0,278.0,278.0,278.0,278.0,1.0,0.0
1,1,28,a,11,no,1,VerbP1,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,28,can,12,no,1,VerbP1,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,28,of,13,no,2,VerbP2,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,28,"food,",14,no,2,VerbP2,no,1.0,302.0,302.0,302.0,302.0,302.0,1.0,0.0
1,1,28,too.,15,no,2,VerbP2,no,1.0,229.0,229.0,229.0,229.0,229.0,1.0,0.0
1,6,14,The,0,no,-1,other,no,1.0,718.0,1035.0,718.0,718.0,718.0,1.0,0.0
1,6,14,brother,1,no,-1,other,no,1.0,412.0,412.0,412.0,412.0,412.0,1.0,0.0
1,6,14,of,2,no,-1,other,no,1.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0
1,6,14,the,3,no,-1,other,no,1.0,320.0,320.0,320.0,320.0,320.0,1.0,0.0
1,6,14,ballerina,4,no,-1,other,no,1.0,699.0,1051.0,0.0,0.0,0.0,0.0,0.0
1,6,14,who,5,no,-1,other,no,1.0,722.0,1362.0,722.0,1060.0,1759.0,1.0,1.0
1,6,14,found,6,no,-1,other,no,1.0,363.0,363.0,363.0,363.0,363.0,1.0,0.0
1,6,14,herself,7,no,0,Reflexive,no,1.0,304.0,619.0,304.0,304.0,304.0,1.0,0.0
1,6,14,in,8,no,1,ReflexiveP1,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,14,a,9,no,1,ReflexiveP1,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,14,lot,10,no,1,ReflexiveP1,no,1.0,386.0,687.0,386.0,386.0,386.0,1.0,0.0
1,6,14,of,11,no,1,ReflexiveP1,no,1.0,275.0,275.0,275.0,275.0,275.0,1.0,0.0
1,6,14,trouble,12,no,1,ReflexiveP1,no,1.0,368.0,368.0,368.0,368.0,368.0,1.0,0.0
1,6,14,phoned,13,no,2,ReflexiveP2,no,1.0,409.0,409.0,409.0,409.0,409.0,1.0,0.0
1,6,14,home.,14,no,2,ReflexiveP2,no,1.0,834.0,834.0,834.0,834.0,2676.0,1.0,1.0
1,5,7,The,0,no,-1,other,no,1.0,388.0,388.0,388.0,388.0,388.0,1.0,0.0
1,5,7,grandma,1,no,-1,other,no,1.0,433.0,433.0,433.0,433.0,433.0,1.0,0.0
1,5,7,of,2,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,7,the,3,no,-1,other,no,1.0,303.0,623.0,303.0,303.0,303.0,1.0,0.0
1,5,7,fireman,4,no,-1,other,no,1.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0
1,5,7,who,5,no,-1,other,no,1.0,242.0,242.0,242.0,242.0,242.0,1.0,0.0
1,5,7,criticized,6,no,-1,other,no,1.0,411.0,1445.0,411.0,411.0,411.0,1.0,0.0
1,5,7,herself,7,no,0,Reflexive,no,1.0,352.0,1269.0,352.0,352.0,352.0,1.0,0.0
