expr_id,cond_id,para_nr,word,word_nr,response_true,sent_rg_id,sent_rg,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg
1,8,118,The,0,no,-1,other,no,1.0,348.0,691.0,348.0,348.0,348.0,1.0,0.0
1,8,118,father,1,no,-1,other,no,1.0,206.0,405.0,206.0,206.0,206.0,1.0,0.0
1,8,118,of,2,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,118,the,3,no,-1,other,no,1.0,293.0,692.0,293.0,293.0,293.0,1.0,0.0
1,8,118,pretty,4,no,-1,other,no,1.0,355.0,1205.0,355.0,355.0,355.0,1.0,0.0
1,8,118,girl,5,no,-1,other,no,1.0,494.0,702.0,494.0,494.0,494.0,1.0,0.0
1,8,118,cleaned,6,no,-1,other,no,1.0,201.0,544.0,201.0,544.0,2543.0,1.0,1.0
1,8,118,up,7,no,-1,other,no,1.0,198.0,198.0,198.0,198.0,198.0,1.0,0.0
1,8,118,the,8,no,-1,other,no,1.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0
1,8,118,house,9,no,-1,other,no,1.0,253.0,253.0,253.0,253.0,253.0,1.0,0.0
1,8,118,all,10,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,118,by,11,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,118,himself,12,no,-1,other,no,1.0,349.0,349.0,349.0,349.0,349.0,1.0,0.0
1,8,118,last,13,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,118,week.,14,no,-1,other,no,1.0,2754.0,2754.0,2754.0,2754.0,2754.0,1.0,0.0
1,8,117,Bill,0,yes,-1,other,yes,1.0,553.0,553.0,553.0,553.0,553.0,1.0,0.0
1,8,117,will,1,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,117,quit,2,yes,-1,other,yes,1.0,552.0,552.0,552.0,552.0,552.0,1.0,0.0
1,8,117,his,3,yes,-1,other,yes,1.0,950.0,950.0,950.0,950.0,950.0,1.0,0.0
1,8,117,job,4,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,117,next,5,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,117,month,6,yes,-1,other,yes,1.0,401.0,401.0,401.0,401.0,401.0,1.0,0.0
1,8,117,to,7,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,117,take,8,yes,-1,other,yes,1.0,296.0,296.0,296.0,296.0,296.0,1.0,0.0
1,8,117,care,9,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,117,of,10,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,117,his,11,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,117,kids,12,yes,-1,other,yes,1.0,205.0,205.0,205.0,205.0,205.0,1.0,0.0
1,8,117,and,13,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,117,step-children.,14,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
