expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,right_bounded_rt2,go_past_time,FPFix,FPReg
2,1,29,of,15,No,No,1.0,821.0,821.0,821.0,821.0,821.0,821.0,1.0,0.0
2,1,29,limited,16,No,No,1.0,178.0,178.0,178.0,178.0,178.0,178.0,1.0,0.0
2,1,29,natural,17,No,No,1.0,249.0,249.0,249.0,249.0,249.0,249.0,1.0,0.0
2,1,29,"resources,",18,No,No,1.0,378.0,378.0,378.0,378.0,378.0,378.0,1.0,0.0
2,1,29,"deforestation,",19,No,No,1.0,496.0,496.0,496.0,496.0,496.0,496.0,1.0,0.0
2,1,29,and,20,No,No,1.0,255.0,255.0,255.0,255.0,255.0,255.0,1.0,0.0
2,1,29,overpopulation.,21,No,No,1.0,450.0,450.0,450.0,450.0,450.0,450.0,1.0,0.0
2,1,29,Over,22,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,29,the,23,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,29,following,24,No,No,1.0,376.0,376.0,376.0,376.0,376.0,376.0,1.0,0.0
2,1,29,years,25,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,29,the,26,No,No,1.0,202.0,202.0,202.0,202.0,202.0,202.0,1.0,0.0
2,1,29,island's,27,No,No,1.0,373.0,373.0,373.0,373.0,373.0,373.0,1.0,0.0
2,1,29,population,28,No,No,1.0,400.0,400.0,400.0,400.0,400.0,400.0,1.0,0.0
2,1,29,of,29,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,29,four,30,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,29,thousand,31,No,No,1.0,321.0,321.0,321.0,321.0,321.0,321.0,1.0,0.0
2,1,29,or,32,No,No,1.0,177.0,177.0,177.0,177.0,177.0,177.0,1.0,0.0
2,1,29,so,33,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,29,was,34,No,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
