expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,1,1,face,47,No,Because of rumors.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,to,48,No,Because of rumors.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,view,49,No,Because of rumors.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,the,50,No,Because of rumors.,0.0,347.0,347.0,347.0,347.0,347.0,1.0,0.0,0,0
2,1,1,artist,51,No,Because of rumors.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,and,52,No,Because of rumors.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,title,53,No,Because of rumors.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,of,54,No,Because of rumors.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,a,55,No,Because of rumors.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,song.,56,No,Because of rumors.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,Two,0,No,Spots on the sun.,0.0,275.0,275.0,275.0,275.0,275.0,1.0,0.0,0,0
2,1,2,days,1,No,Spots on the sun.,0.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0,0
2,1,2,"later,",2,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,the,3,No,Spots on the sun.,0.0,350.0,350.0,350.0,350.0,350.0,1.0,0.0,0,0
2,1,2,British,4,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,astronomer,5,No,Spots on the sun.,0.0,227.0,227.0,227.0,227.0,227.0,1.0,0.0,0,0
2,1,2,Richard,6,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,Carrington,7,No,Spots on the sun.,0.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0,0,0
2,1,2,was,8,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,observing,9,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,the,10,No,Spots on the sun.,0.0,219.0,219.0,219.0,219.0,219.0,1.0,0.0,0,0
2,1,2,interesting,11,No,Spots on the sun.,0.0,499.0,499.0,499.0,499.0,499.0,1.0,0.0,0,0
2,1,2,sunspot,12,No,Spots on the sun.,0.0,280.0,280.0,280.0,280.0,280.0,1.0,0.0,0,0
2,1,2,group,13,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,through,14,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,his,15,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,2,telescope,16,No,Spots on the sun.,0.0,241.0,241.0,241.0,241.0,241.0,1.0,0.0,0,0
2,1,2,when,17,No,Spots on the sun.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
