para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_pass_time,FPFix,FPReg
1,In,0," ""advantages""",advantages,1,702.0,702.0,702.0,702.0,702.0,1.0,0.0
1,my,1," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,younger,2," ""advantages""",advantages,1,400.0,697.0,400.0,400.0,400.0,1.0,0.0
1,and,3," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,more,4," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,vulnerable,5," ""advantages""",advantages,1,397.0,397.0,397.0,397.0,397.0,1.0,0.0
1,years,6," ""advantages""",advantages,1,207.0,207.0,207.0,207.0,207.0,1.0,0.0
1,my,7," ""advantages""",advantages,1,398.0,398.0,398.0,398.0,398.0,1.0,0.0
1,father,8," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,gave,9," ""advantages""",advantages,1,204.0,204.0,204.0,204.0,204.0,1.0,0.0
1,me,10," ""advantages""",advantages,1,493.0,493.0,493.0,493.0,790.0,1.0,1.0
1,some,11," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,advice,12," ""advantages""",advantages,1,394.0,394.0,394.0,394.0,394.0,1.0,0.0
1,that,13," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I've,14," ""advantages""",advantages,1,311.0,311.0,311.0,311.0,311.0,1.0,0.0
1,been,15," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,turning,16," ""advantages""",advantages,1,503.0,503.0,503.0,503.0,503.0,1.0,0.0
1,over,17," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,in,18," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,my,19," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mind,20," ""advantages""",advantages,1,196.0,196.0,196.0,196.0,196.0,1.0,0.0
1,ever,21," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,since.,22," ""advantages""",advantages,1,299.0,299.0,299.0,299.0,299.0,1.0,0.0
1,Whenever,23," ""advantages""",advantages,1,202.0,202.0,202.0,202.0,202.0,1.0,0.0
1,you,24," ""advantages""",advantages,1,401.0,401.0,401.0,401.0,401.0,1.0,0.0
1,feel,25," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,like,26," ""advantages""",advantages,1,296.0,296.0,296.0,296.0,296.0,1.0,0.0
1,criticizing,27," ""advantages""",advantages,1,201.0,201.0,201.0,201.0,201.0,1.0,0.0
1,"anyone,",28," ""advantages""",advantages,1,498.0,498.0,498.0,498.0,498.0,1.0,0.0
1,he,29," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,told,30," ""advantages""",advantages,1,306.0,306.0,306.0,306.0,306.0,1.0,0.0
1,me,31," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"had,",32," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,'just,33," ""advantages""",advantages,1,309.0,309.0,309.0,309.0,309.0,1.0,0.0
1,remember,34," ""advantages""",advantages,1,594.0,594.0,594.0,594.0,594.0,1.0,0.0
