para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_pass_time,FPFix,FPReg
1,In,0," ""advantages""",advantages,1,201.0,201.0,201.0,201.0,201.0,1.0,0.0
1,my,1," ""advantages""",advantages,1,298.0,498.0,298.0,298.0,298.0,1.0,0.0
1,younger,2," ""advantages""",advantages,1,501.0,501.0,501.0,501.0,501.0,1.0,0.0
1,and,3," ""advantages""",advantages,1,202.0,202.0,202.0,202.0,202.0,1.0,0.0
1,more,4," ""advantages""",advantages,1,599.0,599.0,599.0,599.0,599.0,1.0,0.0
1,vulnerable,5," ""advantages""",advantages,1,200.0,498.0,200.0,200.0,200.0,1.0,0.0
1,years,6," ""advantages""",advantages,1,602.0,602.0,602.0,602.0,602.0,1.0,0.0
1,my,7," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,father,8," ""advantages""",advantages,1,197.0,197.0,197.0,197.0,197.0,1.0,0.0
1,gave,9," ""advantages""",advantages,1,404.0,404.0,404.0,404.0,902.0,1.0,1.0
1,me,10," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,some,11," ""advantages""",advantages,1,401.0,401.0,401.0,401.0,401.0,1.0,0.0
1,advice,12," ""advantages""",advantages,1,299.0,299.0,299.0,299.0,299.0,1.0,0.0
1,that,13," ""advantages""",advantages,1,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,I've,14," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,been,15," ""advantages""",advantages,1,396.0,396.0,396.0,396.0,396.0,1.0,0.0
1,turning,16," ""advantages""",advantages,1,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,over,17," ""advantages""",advantages,1,601.0,601.0,601.0,601.0,601.0,1.0,0.0
1,in,18," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,my,19," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mind,20," ""advantages""",advantages,1,296.0,296.0,296.0,296.0,296.0,1.0,0.0
1,ever,21," ""advantages""",advantages,1,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,since.,22," ""advantages""",advantages,1,503.0,503.0,503.0,503.0,503.0,1.0,0.0
1,Whenever,23," ""advantages""",advantages,1,500.0,500.0,0.0,0.0,0.0,0.0,0.0
1,you,24," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,feel,25," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,like,26," ""advantages""",advantages,1,198.0,198.0,0.0,0.0,0.0,0.0,0.0
1,criticizing,27," ""advantages""",advantages,1,203.0,203.0,0.0,0.0,0.0,0.0,0.0
1,"anyone,",28," ""advantages""",advantages,1,895.0,895.0,0.0,0.0,0.0,0.0,0.0
1,he,29," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,told,30," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,me,31," ""advantages""",advantages,1,307.0,307.0,0.0,0.0,0.0,0.0,0.0
1,"had,",32," ""advantages""",advantages,1,394.0,394.0,0.0,0.0,0.0,0.0,0.0
1,'just,33," ""advantages""",advantages,1,301.0,301.0,0.0,0.0,0.0,0.0,0.0
1,remember,34," ""advantages""",advantages,1,300.0,701.0,300.0,300.0,3098.0,1.0,1.0
1,that,35," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,all,36," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,the,37," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,people,38," ""advantages""",advantages,1,202.0,202.0,0.0,0.0,0.0,0.0,0.0
1,in,39," ""advantages""",advantages,1,499.0,499.0,0.0,0.0,0.0,0.0,0.0
1,this,40," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,world,41," ""advantages""",advantages,1,196.0,196.0,0.0,0.0,0.0,0.0,0.0
1,haven't,42," ""advantages""",advantages,1,503.0,1002.0,0.0,0.0,0.0,0.0,0.0
1,had,43," ""advantages""",advantages,1,197.0,197.0,0.0,0.0,0.0,0.0,0.0
1,the,44," ""advantages""",advantages,1,200.0,200.0,0.0,0.0,0.0,0.0,0.0
1,advantages,45," ""advantages""",advantages,1,299.0,801.0,299.0,801.0,3498.0,1.0,1.0
1,that,46," ""advantages""",advantages,1,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,you've,47," ""advantages""",advantages,1,199.0,199.0,199.0,199.0,199.0,1.0,0.0
1,had.,48," ""advantages""",advantages,1,3542.0,3542.0,3542.0,3542.0,3542.0,1.0,0.0
2,Neighbours,0," ""Boo""",Boo,1,799.0,799.0,799.0,799.0,799.0,1.0,0.0
2,bring,1," ""Boo""",Boo,1,600.0,600.0,600.0,600.0,600.0,1.0,0.0
2,food,2," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,with,3," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,death,4," ""Boo""",Boo,1,504.0,504.0,504.0,504.0,504.0,1.0,0.0
2,and,5," ""Boo""",Boo,1,498.0,498.0,498.0,498.0,498.0,1.0,0.0
2,flowers,6," ""Boo""",Boo,1,500.0,500.0,500.0,500.0,500.0,1.0,0.0
2,with,7," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,sickness,8," ""Boo""",Boo,1,400.0,400.0,400.0,400.0,400.0,1.0,0.0
2,and,9," ""Boo""",Boo,1,201.0,201.0,201.0,201.0,201.0,1.0,0.0
2,little,10," ""Boo""",Boo,1,200.0,200.0,0.0,0.0,0.0,0.0,0.0
2,things,11," ""Boo""",Boo,1,300.0,502.0,0.0,0.0,0.0,0.0,0.0
2,in,12," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,between.,13," ""Boo""",Boo,1,500.0,903.0,500.0,903.0,1605.0,1.0,1.0
2,Boo,14," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,was,15," ""Boo""",Boo,1,400.0,400.0,400.0,400.0,400.0,1.0,0.0
2,our,16," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,neighbour.,17," ""Boo""",Boo,1,399.0,399.0,399.0,399.0,399.0,1.0,0.0
2,He,18," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,gave,19," ""Boo""",Boo,1,201.0,201.0,201.0,201.0,201.0,1.0,0.0
2,us,20," ""Boo""",Boo,1,300.0,300.0,300.0,300.0,300.0,1.0,0.0
2,two,21," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,soap,22," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"dolls,",23," ""Boo""",Boo,1,399.0,399.0,399.0,399.0,399.0,1.0,0.0
2,a,24," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,broken,25," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,watch,26," ""Boo""",Boo,1,200.0,200.0,200.0,200.0,200.0,1.0,0.0
2,and,27," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"chain,",28," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,a,29," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,pair,30," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,of,31," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,good,32," ""Boo""",Boo,1,598.0,598.0,598.0,598.0,598.0,1.0,0.0
2,luck,33," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"pennies,",34," ""Boo""",Boo,1,500.0,500.0,500.0,500.0,500.0,1.0,0.0
2,and,35," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,our,36," ""Boo""",Boo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,lives.,37," ""Boo""",Boo,1,5243.0,5243.0,5243.0,5243.0,5243.0,1.0,0.0
3,I,0," ""account""",account,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,wanted,1," ""account""",account,1,800.0,800.0,800.0,800.0,800.0,1.0,0.0
3,to,2," ""account""",account,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,live,3," ""account""",account,1,299.0,299.0,299.0,299.0,299.0,1.0,0.0
3,deep,4," ""account""",account,1,703.0,703.0,703.0,703.0,703.0,1.0,0.0
3,and,5," ""account""",account,1,197.0,197.0,197.0,197.0,197.0,1.0,0.0
3,suck,6," ""account""",account,1,202.0,202.0,202.0,202.0,202.0,1.0,0.0
3,out,7," ""account""",account,1,600.0,600.0,600.0,600.0,600.0,1.0,0.0
3,all,8," ""account""",account,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,the,9," ""account""",account,1,200.0,200.0,200.0,200.0,200.0,1.0,0.0
3,marrow,10," ""account""",account,1,800.0,800.0,800.0,800.0,800.0,1.0,0.0
3,of,11," ""account""",account,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"life,",12," ""account""",account,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,to,13," ""account""",account,1,291.0,291.0,291.0,291.0,291.0,1.0,0.0
3,live,14," ""account""",account,1,199.0,199.0,199.0,199.0,199.0,1.0,0.0
3,so,15," ""account""",account,1,300.0,300.0,0.0,0.0,0.0,0.0,0.0
3,sturdily,16," ""account""",account,1,200.0,501.0,200.0,501.0,801.0,1.0,1.0
3,and,17," ""account""",account,1,199.0,199.0,199.0,199.0,199.0,1.0,0.0
3,Spartan-like,18," ""account""",account,1,501.0,501.0,501.0,501.0,501.0,1.0,0.0
3,as,19," ""account""",account,1,599.0,599.0,599.0,599.0,599.0,1.0,0.0
3,to,20," ""account""",account,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,put,21," ""account""",account,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,to,22," ""account""",account,1,201.0,201.0,201.0,201.0,201.0,1.0,0.0
3,rout,23," ""account""",account,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
