para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_pass_time,FPFix,FPReg
1,In,0," ""advantages""",advantages,1,1899.0,1899.0,1899.0,1899.0,1899.0,1.0,0.0
1,my,1," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,younger,2," ""advantages""",advantages,1,400.0,598.0,400.0,400.0,400.0,1.0,0.0
1,and,3," ""advantages""",advantages,1,399.0,399.0,399.0,399.0,399.0,1.0,0.0
1,more,4," ""advantages""",advantages,1,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,vulnerable,5," ""advantages""",advantages,1,503.0,503.0,503.0,503.0,503.0,1.0,0.0
1,years,6," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,my,7," ""advantages""",advantages,1,198.0,198.0,0.0,0.0,0.0,0.0,0.0
1,father,8," ""advantages""",advantages,1,202.0,202.0,202.0,202.0,202.0,1.0,0.0
1,gave,9," ""advantages""",advantages,1,195.0,195.0,195.0,195.0,195.0,1.0,0.0
1,me,10," ""advantages""",advantages,1,305.0,305.0,305.0,305.0,701.0,1.0,1.0
1,some,11," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,advice,12," ""advantages""",advantages,1,503.0,702.0,503.0,503.0,503.0,1.0,0.0
1,that,13," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I've,14," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,been,15," ""advantages""",advantages,1,192.0,192.0,192.0,192.0,192.0,1.0,0.0
1,turning,16," ""advantages""",advantages,1,504.0,504.0,504.0,504.0,504.0,1.0,0.0
1,over,17," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,in,18," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,my,19," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mind,20," ""advantages""",advantages,1,200.0,200.0,200.0,200.0,200.0,1.0,0.0
1,ever,21," ""advantages""",advantages,1,194.0,194.0,194.0,194.0,194.0,1.0,0.0
1,since.,22," ""advantages""",advantages,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Whenever,23," ""advantages""",advantages,1,393.0,393.0,393.0,393.0,592.0,1.0,1.0
1,you,24," ""advantages""",advantages,1,695.0,695.0,695.0,695.0,695.0,1.0,0.0
1,feel,25," ""advantages""",advantages,1,301.0,1202.0,301.0,301.0,301.0,1.0,0.0
1,like,26," ""advantages""",advantages,1,303.0,303.0,303.0,303.0,303.0,1.0,0.0
1,criticizing,27," ""advantages""",advantages,1,500.0,500.0,500.0,500.0,500.0,1.0,0.0
1,"anyone,",28," ""advantages""",advantages,1,197.0,797.0,197.0,197.0,197.0,1.0,0.0
1,he,29," ""advantages""",advantages,1,199.0,2000.0,199.0,199.0,199.0,1.0,0.0
1,told,30," ""advantages""",advantages,1,501.0,1901.0,0.0,0.0,0.0,0.0,0.0
