sbm_id,expr_id,cond_id,trial_id,para_nr,mean_x,mean_y,start_x,end_x,start_y,end_y,start_t,end_t,duration
114,2,1,10,38,130.8,27.2,107,156,28,27,2014,2213,199
114,2,1,10,38,124.33333333333333,41.333333333333336,146,108,40,42,2513,2613,100
114,2,1,10,38,169.42857142857142,39.714285714285715,133,201,42,41,3019,3315,296
114,2,1,10,38,139.66666666666666,47.0,155,128,45,49,3715,3813,98
114,2,1,10,38,165.6,47.2,144,188,48,47,4165,4365,200
114,2,1,10,38,252.25,47.875,203,304,47,51,4463,4812,349
114,2,1,10,38,473.27272727272725,40.18181818181818,421,532,35,41,6213,6713,500
114,2,1,10,38,618.1666666666666,34.833333333333336,576,649,40,35,7367,7615,248
114,2,1,10,38,352.8,60.6,548,216,37,81,8063,8263,200
114,2,1,10,38,155.0,74.66666666666667,190,130,78,73,8563,8663,100
114,2,1,10,38,172.375,76.125,132,208,73,79,9065,9413,348
114,2,1,10,38,272.5,82.5,221,328,79,87,9513,9963,450
114,2,1,10,38,431.0,78.6,344,505,82,77,10415,11113,698
114,2,1,10,38,549.5,83.0,531,568,83,83,11415,11565,150
114,2,1,10,38,626.0,81.8,586,655,82,82,11966,12163,197
114,2,1,10,38,278.9,113.5,553,156,73,139,12413,12863,450
114,2,1,10,38,140.25,107.75,126,155,110,106,13616,13766,150
114,2,1,10,38,174.33333333333334,109.0,165,183,107,111,13863,13966,103
114,2,1,10,38,248.6,118.4,222,283,118,117,14363,14565,202
114,2,1,10,38,385.77777777777777,123.0,336,434,117,127,14913,15313,400
114,2,1,10,38,526.75,122.0,452,591,121,124,15815,16363,548
114,2,1,8,39,157.83333333333334,32.5,116,189,31,33,1513,1762,249
114,2,1,8,39,255.0,37.0,240,269,35,39,2062,2213,151
114,2,1,8,39,395.5,42.0,316,457,39,40,2713,3262,549
114,2,1,8,39,531.2,40.6,484,579,43,39,3512,3962,450
114,2,1,8,39,614.6666666666666,39.0,603,625,39,39,4111,4212,101
114,2,1,8,39,690.5,37.0,667,712,37,37,4814,4962,148
114,2,1,8,39,275.5,71.61111111111111,670,124,32,89,5162,6013,851
114,2,1,8,39,275.1666666666667,81.66666666666667,219,330,77,83,7612,8162,550
114,2,1,8,39,523.6666666666666,78.66666666666667,515,532,79,78,10212,10312,100
114,2,1,8,39,655.0,78.25,628,672,77,79,11510,11660,150
114,2,1,8,39,383.2857142857143,98.28571428571429,650,206,81,123,12010,12310,300
114,2,1,8,39,133.75,123.0,167,112,123,123,12665,12813,148
114,2,1,8,39,184.0,117.11111111111111,117,236,123,118,13160,13562,402
114,2,1,8,39,284.0,121.5,261,310,120,122,13662,13912,250
114,2,1,8,39,357.6666666666667,122.33333333333333,344,370,122,123,14162,14262,100
114,2,1,8,39,348.3333333333333,127.0,365,336,125,129,15263,15363,100
114,2,1,8,39,369.0,118.4,328,404,123,116,15963,16161,198
114,2,1,8,39,473.0,120.66666666666667,464,483,121,120,16662,16762,100
114,2,1,8,39,562.25,117.75,548,580,115,121,17161,17312,151
114,2,1,8,39,289.55555555555554,135.11111111111111,620,112,122,153,18063,18461,398
114,2,1,8,39,149.71428571428572,159.28571428571428,108,189,163,155,18762,19062,300
114,2,1,8,39,257.875,153.875,223,289,154,155,19262,19610,348
114,2,1,6,40,188.28571428571428,37.285714285714285,108,287,41,37,6121,6771,650
114,2,1,6,40,459.75,35.0625,328,565,40,34,7422,8171,749
114,2,1,6,40,606.6666666666666,34.0,580,634,35,32,8272,8521,249
114,2,1,6,40,665.0,33.0,649,681,32,35,8622,8821,199
114,2,1,6,40,278.44444444444446,62.111111111111114,656,108,42,71,9322,9722,400
114,2,1,6,40,144.75,79.5,119,164,80,79,10121,10271,150
114,2,1,6,40,260.8,81.7,203,312,79,85,10572,11022,450
114,2,1,6,40,520.5384615384615,84.15384615384616,349,680,82,87,11572,12822,1250
114,2,1,6,40,265.57142857142856,93.28571428571429,540,112,89,104,13123,13423,300
114,2,1,6,40,182.66666666666666,122.16666666666667,133,229,123,123,13972,14222,250
114,2,1,6,40,412.8235294117647,126.94117647058823,272,532,123,126,14722,15523,801
114,2,1,6,40,616.2222222222222,124.11111111111111,560,656,125,123,16022,16422,400
114,2,1,6,40,692.8,119.6,676,709,121,119,16521,16721,200
114,2,1,6,40,263.6666666666667,149.44444444444446,598,86,123,175,16922,17323,401
114,2,1,6,40,178.0,168.0,95,260,171,176,17572,17722,150
114,2,1,15,41,152.2,38.8,113,177,34,44,2172,2371,199
114,2,1,15,41,290.6666666666667,32.666666666666664,236,325,37,31,2821,3075,254
114,2,1,15,41,336.5,39.166666666666664,296,372,35,43,3628,3875,247
114,2,1,15,41,451.625,37.25,384,497,42,33,4325,4675,350
114,2,1,15,41,570.1428571428571,36.285714285714285,541,599,37,35,5425,5723,298
114,2,1,15,41,631.6666666666666,35.0,620,642,35,35,5875,5974,99
114,2,1,15,41,338.0769230769231,53.61538461538461,689,180,44,79,6726,7322,596
114,2,1,15,41,281.1875,70.4375,176,381,75,68,8373,9122,749
114,2,1,15,41,540.3333333333334,85.5,456,626,87,83,10125,10675,550
114,2,1,15,41,279.9,130.8,609,124,110,124,11576,12026,450
114,2,1,15,41,230.5,115.33333333333333,152,313,121,112,13026,13577,551
114,2,1,15,41,340.0,114.0,330,351,113,115,13671,13775,104
114,2,1,15,41,502.92857142857144,115.28571428571429,384,602,115,127,14275,14925,650
114,2,1,15,41,578.0,123.66666666666667,601,556,131,117,15375,15472,97
114,2,1,15,41,598.0,107.5,545,629,115,101,16076,16221,145
114,2,1,15,41,280.57142857142856,130.57142857142858,534,166,128,148,17076,17373,297
114,2,1,15,41,161.66666666666666,167.0,149,172,169,166,17976,18071,95
114,2,1,15,41,349.4,139.8,315,381,131,154,19721,19924,203
114,2,1,4,42,166.83333333333334,41.166666666666664,136,192,37,42,1564,1814,250
114,2,1,4,42,245.14285714285714,36.57142857142857,213,280,39,37,1964,2263,299
114,2,1,4,42,380.1666666666667,39.0,309,443,38,40,2764,3313,549
114,2,1,4,42,477.4,39.8,459,497,40,39,3414,3613,199
114,2,1,4,42,425.0,37.4,477,383,37,38,3914,4114,200
114,2,1,4,42,445.0,44.53846153846154,376,505,38,46,4614,5214,600
114,2,1,4,42,506.75,32.25,570,472,35,32,6413,6564,151
114,2,1,4,42,517.25,42.5,496,536,41,43,7463,7613,150
114,2,1,4,42,617.8333333333334,40.0,589,645,43,39,8013,8264,251
114,2,1,4,42,407.6666666666667,46.0,625,232,36,57,8613,9014,401
114,2,1,4,42,266.0,31.0,238,293,37,29,9714,9964,250
114,2,1,4,42,417.5,43.25,342,480,36,54,10314,10664,350
114,2,1,4,42,452.0,41.666666666666664,406,494,38,41,11813,12213,400
114,2,1,4,42,521.0,41.25,509,533,41,42,12314,12463,149
114,2,1,4,42,567.6666666666666,42.0,554,579,42,42,12563,12664,101
114,2,1,4,42,641.25,38.5,621,660,38,39,13214,13363,149
114,2,1,4,42,315.2,60.2,588,162,31,84,13815,14017,202
114,2,1,4,42,113.66666666666667,79.66666666666667,137,98,83,77,14313,14413,100
114,2,1,4,42,154.44444444444446,74.55555555555556,113,194,74,76,14763,15164,401
114,2,1,4,42,247.66666666666666,82.0,236,259,82,82,15464,15563,99
114,2,1,4,42,365.6,80.0,326,397,81,79,16664,16864,200
114,2,1,4,42,477.0,83.33333333333333,469,485,83,84,17363,17463,100
114,2,1,4,42,523.4,84.8,500,548,84,85,17564,17763,199
114,2,1,4,42,603.0,86.0,591,613,87,85,18014,18113,99
114,2,1,4,42,311.54545454545456,87.72727272727273,591,165,81,107,19115,19614,499
114,2,1,4,42,180.66666666666666,114.66666666666667,166,192,120,111,20415,20515,100
114,2,1,4,42,226.33333333333334,111.0,214,237,111,111,20664,20764,100
114,2,1,4,42,296.1666666666667,115.0,252,330,113,118,20864,21114,250
114,2,1,4,42,452.5,120.375,410,487,122,120,21914,22264,350
114,2,1,4,42,553.2,120.0,513,584,120,120,22864,23064,200
114,2,1,4,42,637.25,119.625,602,672,120,119,23163,23513,350
114,2,1,4,42,326.57142857142856,131.57142857142858,576,142,125,145,24564,24864,300
114,2,1,4,42,172.0,166.25,153,188,171,163,25615,25764,149
114,2,1,4,42,365.95454545454544,158.13636363636363,232,484,158,159,26115,27164,1049
114,2,1,12,43,194.3,28.2,132,254,31,27,1831,2284,453
114,2,1,12,43,182.33333333333334,36.0,210,161,34,37,3081,3181,100
114,2,1,12,43,239.0,41.888888888888886,160,301,36,47,3482,3882,400
114,2,1,12,43,355.0,39.5,337,372,43,37,4386,4531,145
114,2,1,12,43,444.0,33.0,436,452,33,33,5029,5131,102
114,2,1,12,43,579.3846153846154,37.61538461538461,503,647,41,41,6631,7231,600
114,2,1,12,43,616.4,45.0,687,560,48,46,8135,8329,194
114,2,1,12,43,638.25,47.0,588,665,45,51,8681,8831,150
114,2,1,12,43,401.2,69.1,630,258,55,81,9031,9483,452
114,2,1,12,43,209.66666666666666,75.33333333333333,233,195,76,75,9631,9731,100
114,2,1,12,43,206.5,78.33333333333333,149,236,77,79,10531,10781,250
114,2,1,12,43,286.0,77.4,264,312,78,77,10981,11181,200
114,2,1,12,43,416.5,71.66666666666667,389,442,71,74,12030,12279,249
114,2,1,12,43,610.8333333333334,70.33333333333333,536,664,78,66,13184,13429,245
114,2,1,12,43,351.0,95.83333333333333,660,168,75,135,14081,14329,248
114,2,1,12,43,135.33333333333334,130.0,154,122,132,129,14581,14682,101
114,2,1,12,43,229.53846153846155,123.61538461538461,124,320,118,120,15281,15881,600
114,2,1,12,43,428.0,119.0,384,468,119,119,16781,17182,401
114,2,1,12,43,551.8333333333334,114.5,505,593,116,111,17781,18031,250
114,2,1,12,43,641.6666666666666,110.55555555555556,608,672,110,122,18131,18531,400
114,2,1,12,43,262.7692307692308,168.84615384615384,613,127,143,165,18882,19482,600
114,2,1,12,43,166.0,155.5,142,184,159,154,19931,20081,150
114,2,1,12,43,285.7857142857143,152.92857142857142,213,359,155,152,20279,20930,651
114,2,1,12,43,397.5,157.5,378,416,153,163,21031,21179,148
114,2,1,1,44,128.6,33.0,104,152,34,33,2508,2711,203
114,2,1,1,44,230.16666666666666,28.333333333333332,198,256,31,27,3258,3509,251
114,2,1,1,44,290.6666666666667,33.333333333333336,316,272,36,32,4360,4461,101
114,2,1,1,44,293.5,41.833333333333336,257,320,35,47,5109,5361,252
114,2,1,1,44,496.85714285714283,39.0,452,535,42,36,6858,7160,302
114,2,1,1,44,594.0,35.0,557,628,35,35,7309,7708,399
114,2,1,1,44,270.1,49.1,616,118,39,63,8509,8958,449
114,2,1,1,44,215.94117647058823,78.76470588235294,122,323,82,80,9610,10408,798
114,2,1,1,44,424.42857142857144,83.0,382,456,82,84,11164,11459,295
114,2,1,1,44,499.0,83.0,480,517,84,82,11620,11808,188
114,2,1,1,44,558.2,81.2,536,581,82,79,11916,12116,200
114,2,1,1,44,625.3333333333334,78.0,614,636,79,77,12361,12458,97
114,2,1,1,44,678.5,77.5,664,692,76,79,13015,13159,144
114,2,1,1,44,293.6666666666667,96.66666666666667,658,64,80,123,13558,13808,250
114,2,1,1,44,121.0,123.0,70,161,131,117,14110,14459,349
114,2,1,1,44,243.88888888888889,115.33333333333333,188,296,116,117,14608,15009,401
114,2,1,1,44,330.0,120.0,318,340,120,120,15110,15208,98
114,2,1,1,44,501.8666666666667,122.26666666666667,400,588,120,122,16010,16709,699
114,2,1,1,44,573.0,123.0,641,516,120,128,17920,18108,188
114,2,1,1,44,534.8571428571429,117.57142857142857,456,589,120,119,18758,19059,301
114,2,1,1,44,621.5,120.75,606,638,120,122,19164,19310,146
114,2,1,1,44,257.75,147.25,632,123,123,172,19660,20207,547
114,2,1,1,44,193.8,161.8,161,220,163,161,20508,20708,200
114,2,1,1,44,250.66666666666666,163.0,240,260,163,163,20907,21010,103
114,2,1,2,45,253.5,41.05555555555556,128,368,38,46,2041,2891,850
114,2,1,2,45,434.375,50.0,383,493,47,53,2995,3341,346
114,2,1,2,45,523.75,44.5,507,540,49,41,3791,3941,150
114,2,1,2,45,615.875,34.0,580,652,39,29,4241,4597,356
114,2,1,2,45,318.14285714285717,45.57142857142857,648,82,41,62,5193,5491,298
114,2,1,2,45,92.4,82.6,68,120,79,84,5793,5991,198
114,2,1,2,45,166.6,79.6,140,190,82,79,6141,6340,199
114,2,1,2,45,273.6666666666667,82.5,244,300,82,83,6641,6892,251
114,2,1,2,45,368.3333333333333,85.66666666666667,357,379,86,85,7541,7641,100
114,2,1,2,45,504.75,77.875,467,546,79,75,8390,8740,350
114,2,1,2,45,606.6,71.8,571,632,74,71,9193,9391,198
114,2,1,2,45,673.6666666666666,70.83333333333333,651,697,71,70,9502,9741,239
114,2,1,2,45,285.6666666666667,78.55555555555556,588,154,66,97,10141,10540,399
114,2,1,2,45,225.0625,115.875,120,337,122,112,11199,11947,748
114,2,1,2,45,439.6666666666667,116.66666666666667,391,483,116,117,13094,13493,399
114,2,1,2,45,533.25,118.75,520,548,119,118,13794,13941,147
114,2,1,2,45,612.0,112.5,581,636,114,113,14394,14640,246
114,2,1,2,45,682.6,115.0,658,705,115,115,14742,14941,199
114,2,1,2,45,434.75,120.75,674,288,119,125,15341,15691,350
114,2,1,2,45,229.75,121.75,250,212,123,120,16044,16191,147
114,2,1,2,45,271.57142857142856,111.0,215,312,113,110,16891,17191,300
114,2,1,2,45,204.57142857142858,139.0,312,140,121,153,18091,18391,300
114,2,1,2,45,257.3333333333333,156.9047619047619,117,388,162,167,18904,19890,986
114,2,1,9,46,154.0,36.333333333333336,130,172,39,35,15476,15576,100
114,2,1,9,46,254.125,35.625,202,319,37,38,15826,16176,350
114,2,1,9,46,379.0,30.4,340,410,35,26,16676,16879,203
114,2,1,9,46,474.875,33.25,435,509,25,47,16976,17329,353
114,2,1,9,46,484.125,47.25,434,524,46,49,18526,18876,350
114,2,1,9,46,577.5,45.5,547,607,47,44,19026,19276,250
114,2,1,9,46,206.875,37.125,510,98,44,43,20176,20526,350
114,2,1,9,46,182.4,36.8,105,246,47,31,20728,20926,198
114,2,1,9,46,273.3333333333333,31.0,261,284,31,31,21076,21176,100
114,2,1,9,46,183.8,32.2,279,129,27,47,21279,21478,199
114,2,1,9,46,226.30769230769232,84.76923076923077,159,300,87,81,22576,23176,600
114,2,1,9,46,395.8,78.3,335,453,79,83,23826,24276,450
114,2,1,9,46,501.75,87.0,486,517,87,87,24476,24629,153
114,2,1,9,46,542.3333333333334,87.0,532,553,87,87,24726,24828,102
114,2,1,9,46,686.6666666666666,75.0,676,696,75,75,26027,26129,102
114,2,1,9,46,277.7142857142857,44.0,644,106,70,53,26476,26779,303
114,2,1,9,46,93.0,87.25,90,100,72,100,26929,27076,147
114,2,1,9,46,193.33333333333334,116.33333333333333,171,217,118,114,27629,27878,249
114,2,1,9,46,212.5,118.0,292,153,111,124,28829,28976,147
114,2,1,9,46,226.5,123.7,112,308,122,125,29529,29976,447
114,2,1,9,46,355.2,121.4,328,377,123,121,30379,30576,197
114,2,1,9,46,438.0,119.0,428,449,119,119,30926,31028,102
114,2,1,9,46,482.5,121.0,464,502,119,122,31126,31275,149
114,2,1,9,46,576.0,125.5,540,608,123,127,31780,32029,249
114,2,1,9,46,657.6666666666666,124.66666666666667,643,673,127,123,32226,32329,103
114,2,1,9,46,209.5,156.25,575,62,120,171,32676,33026,350
114,2,1,9,46,119.77777777777777,155.11111111111111,76,160,163,153,33230,33629,399
114,2,1,9,46,240.14285714285714,158.71428571428572,184,288,155,165,33826,34126,300
114,2,1,9,46,323.3333333333333,165.33333333333334,301,346,166,163,34226,34477,251
114,2,1,9,46,424.0,155.0,411,437,155,155,34981,35079,98
114,2,1,9,46,525.0,161.42857142857142,483,562,163,158,35329,35626,297
114,2,1,9,46,534.6666666666666,173.0,568,500,159,191,36026,36126,100
114,2,1,17,47,146.5,38.25,120,169,33,44,44105,44255,150
114,2,1,17,47,251.5,41.0,200,292,44,38,44809,45151,342
114,2,1,17,47,438.9,35.0,364,492,37,35,46004,46455,451
114,2,1,17,47,545.6666666666666,36.666666666666664,518,568,36,38,46955,47048,93
114,2,1,17,47,592.0,38.0,584,600,38,38,47155,47250,95
114,2,1,17,47,631.25,39.75,616,645,38,42,47355,47498,143
114,2,1,17,47,680.0,38.333333333333336,664,692,39,38,47857,47954,97
114,2,1,17,47,529.5,45.75,682,445,42,46,48201,48355,154
114,2,1,17,47,204.0,72.75,340,146,50,79,48654,48805,151
114,2,1,17,47,209.0,81.3,138,276,79,79,49455,49897,442
114,2,1,17,47,371.1,79.9,308,424,77,82,50448,50907,459
114,2,1,17,47,540.6363636363636,79.27272727272727,453,615,80,81,51358,51855,497
114,2,1,17,47,688.2,80.8,649,719,80,83,52353,52552,199
114,2,1,17,47,484.6,90.8,709,336,86,100,52755,52955,200
114,2,1,17,47,175.4,121.2,257,138,108,126,53298,53502,204
114,2,1,17,47,191.53846153846155,129.0,127,253,126,127,54105,54705,600
114,2,1,17,47,316.0,122.66666666666667,292,340,117,126,55099,55355,256
114,2,1,17,47,441.8181818181818,112.36363636363636,363,513,119,112,55755,56251,496
114,2,1,17,47,605.1666666666666,117.33333333333333,568,636,119,117,57151,57399,248
114,2,1,17,47,565.6666666666666,133.33333333333334,597,546,132,131,58405,58501,96
114,2,1,17,47,540.3333333333334,118.0,533,548,117,119,59159,59250,91
114,2,1,17,47,524.6666666666666,118.66666666666667,554,500,118,120,59748,59857,109
114,2,1,17,47,596.8571428571429,118.85714285714286,556,632,122,119,60755,61050,295
114,2,1,17,47,692.3333333333334,107.66666666666667,648,724,115,105,61457,61705,248
114,2,1,17,47,584.8,146.4,652,544,140,145,61908,62098,190
114,2,1,17,47,293.0,165.75,449,208,142,186,62355,62502,147
114,2,1,17,47,288.1666666666667,165.16666666666666,163,422,159,162,64297,65055,758
114,2,1,17,47,452.0,133.66666666666666,440,463,142,127,65309,65403,94
114,2,1,17,47,520.5,121.5,490,544,123,119,65654,65808,154
114,2,1,17,47,605.4,115.0,579,626,115,116,66255,66455,200
114,2,1,17,47,654.25,119.25,641,668,118,121,66554,66705,151
114,2,1,17,47,596.5,167.0,670,540,134,191,67100,67255,155
114,2,1,13,48,141.66666666666666,39.666666666666664,118,160,36,43,55224,55327,103
114,2,1,13,48,206.0,43.333333333333336,196,217,44,43,55624,55727,103
114,2,1,13,48,149.25,45.75,206,118,42,47,55874,56021,147
114,2,1,13,48,143.66666666666666,40.0,128,156,40,41,56374,56476,102
114,2,1,13,48,262.2,46.6,188,335,43,51,56974,57170,196
114,2,1,13,48,381.3333333333333,31.166666666666668,356,407,34,33,57872,58127,255
114,2,1,13,48,578.0909090909091,36.27272727272727,487,652,37,39,58874,59374,500
114,2,1,13,48,304.375,42.625,648,140,45,54,59774,60124,350
114,2,1,13,48,174.0,85.66666666666667,164,183,88,84,60924,61020,96
114,2,1,13,48,220.66666666666666,79.66666666666667,211,230,81,79,61270,61375,105
114,2,1,13,48,264.8,75.2,245,284,78,73,61472,61672,200
114,2,1,13,48,334.875,78.25,303,376,72,87,61774,62126,352
114,2,1,13,48,440.5,81.16666666666667,394,478,86,80,62775,63027,252
114,2,1,13,48,570.9230769230769,77.38461538461539,495,642,80,80,63127,63724,597
114,2,1,13,48,674.6666666666666,84.66666666666667,665,684,83,86,63827,63924,97
114,2,1,13,48,314.25,117.125,642,154,99,119,64224,64571,347
114,2,1,13,48,218.66666666666666,118.33333333333333,135,276,121,119,65070,65321,251
114,2,1,13,48,343.6666666666667,120.0,326,365,120,120,65674,65776,102
114,2,1,13,48,333.6666666666667,119.33333333333333,320,349,120,119,67927,68027,100
114,2,1,13,48,412.0,125.66666666666667,400,424,126,125,68324,68427,103
114,2,1,13,48,571.5714285714286,118.42857142857143,516,617,121,118,69577,69877,300
114,2,1,13,48,662.8,117.6,637,684,117,119,69977,70170,193
114,2,1,13,48,296.54545454545456,163.9090909090909,696,124,124,152,70570,71227,657
114,2,1,13,48,153.33333333333334,156.66666666666666,130,169,162,154,71972,72075,103
114,2,1,13,48,232.0,156.66666666666666,213,255,159,152,72375,72476,101
114,2,1,13,48,331.8,152.9,272,379,152,159,72574,73024,450
114,2,1,7,49,240.0,30.75,121,348,36,37,1517,2268,751
114,2,1,7,49,271.6666666666667,40.0,291,256,44,37,2468,2567,99
114,2,1,7,49,365.75,44.25,264,421,43,49,2917,3268,351
114,2,1,7,49,488.3333333333333,41.833333333333336,452,514,48,39,3717,3967,250
114,2,1,7,49,557.1666666666666,36.333333333333336,529,587,37,35,4068,4316,248
114,2,1,7,49,323.3333333333333,46.166666666666664,631,171,43,50,4818,5067,249
114,2,1,7,49,193.0,87.83333333333333,156,223,91,87,5618,5868,250
114,2,1,7,49,308.0833333333333,82.33333333333333,247,379,86,83,6018,6567,549
114,2,1,7,49,477.0,79.125,428,518,80,79,7067,7417,350
114,2,1,7,49,564.3333333333334,78.5,536,588,79,79,7517,7767,250
114,2,1,7,49,340.72727272727275,97.36363636363636,645,150,72,125,9367,9867,500
114,2,1,7,49,204.0,119.25,173,225,122,118,10567,10717,150
114,2,1,7,49,270.0,111.6,248,289,115,110,10868,11068,200
114,2,1,7,49,348.0,112.66666666666667,337,358,111,114,11367,11467,100
114,2,1,7,49,393.3333333333333,115.0,384,403,115,115,11667,11768,101
114,2,1,7,49,573.0666666666667,123.0,483,655,123,123,12717,13417,700
114,2,1,7,49,266.9,139.1,626,108,121,158,13717,14167,450
114,2,1,7,49,147.0,157.75,112,172,160,156,14467,14617,150
114,2,1,7,49,197.0,155.66666666666666,188,206,156,155,14717,14817,100
114,2,1,7,49,245.66666666666666,155.0,220,270,155,155,14917,15167,250
114,2,1,14,50,192.16666666666666,35.0,161,216,33,38,9134,9382,248
114,2,1,14,50,269.7142857142857,34.857142857142854,236,307,40,29,9528,9832,304
114,2,1,14,50,398.8333333333333,35.0,317,456,36,39,11031,11284,253
114,2,1,14,50,515.5,36.5,472,562,39,35,11381,11732,351
114,2,1,14,50,620.4545454545455,37.63636363636363,571,668,35,36,12128,12628,500
114,2,1,14,50,417.55555555555554,50.44444444444444,680,235,39,71,13082,13480,398
114,2,1,14,50,156.0,77.0,184,136,79,76,13882,13978,96
114,2,1,14,50,165.33333333333334,77.33333333333333,148,178,75,79,14428,14534,106
114,2,1,14,50,267.54545454545456,79.0909090909091,200,335,83,77,14727,15232,505
114,2,1,14,50,442.0,75.36363636363636,370,516,77,74,15628,16132,504
114,2,1,14,50,660.8333333333334,80.83333333333333,622,694,81,85,17229,17482,253
114,2,1,14,50,339.2857142857143,109.42857142857143,658,124,98,119,17785,18081,296
114,2,1,14,50,168.8,119.0,141,196,119,119,18532,18727,195
114,2,1,14,50,246.33333333333334,119.0,233,260,119,119,18982,19082,100
114,2,1,14,50,335.25,114.75,295,372,116,115,19585,19932,347
114,2,1,14,50,543.5714285714286,116.28571428571429,474,586,118,116,21077,21382,305
114,2,1,14,50,624.25,113.0,608,641,115,111,21484,21634,150
114,2,1,14,50,671.25,111.0,654,687,111,113,21732,21884,152
114,2,1,14,50,495.75,155.25,601,434,127,175,22382,22529,147
114,2,1,14,50,131.0,166.25,261,55,140,188,22832,22980,148
114,2,1,14,50,115.6,172.6,97,132,177,167,23284,23484,200
114,2,1,14,50,151.33333333333334,157.0,135,167,155,159,25235,25332,97
114,2,1,14,50,283.0,155.66666666666666,253,301,158,155,25980,26085,105
114,2,1,18,51,125.0,29.333333333333332,111,140,31,28,1942,2049,107
114,2,1,18,51,217.8181818181818,33.81818181818182,156,278,31,39,2142,2646,504
