sbm_id,expr_id,cond_id,trial_id,para_nr,mean_x,mean_y,start_x,end_x,start_y,end_y,start_t,end_t,duration
24,2,1,5,1,190.42857142857142,47.42857142857143,126,231,47,49,1395,1694,299
24,2,1,5,1,324.8,48.2,258,368,48,49,2044,2244,200
24,2,1,5,1,435.5,47.75,402,462,49,48,2695,2844,149
24,2,1,5,1,494.6,49.0,476,512,49,49,2944,3144,200
24,2,1,5,1,562.75,45.25,535,583,48,44,3445,3595,150
24,2,1,5,1,638.6,41.8,599,668,44,41,3944,4145,201
24,2,1,5,1,298.4,36.8,630,141,32,53,4395,4595,200
24,2,1,5,1,169.8,84.6,141,191,79,90,4994,5194,200
24,2,1,5,1,273.1666666666667,79.0,220,312,87,76,5346,5594,248
24,2,1,5,1,386.25,74.75,350,412,74,78,5945,6094,149
24,2,1,5,1,471.5,78.5,421,517,78,82,6394,6544,150
24,2,1,5,1,574.0,82.5,533,605,83,83,6944,7094,150
24,2,1,5,1,677.8571428571429,85.0,635,715,85,85,7294,7594,300
24,2,1,5,1,231.75,97.25,579,70,73,122,7844,7994,150
24,2,1,5,1,156.375,128.125,86,220,131,127,8194,8546,352
24,2,1,5,1,312.0,128.75,278,333,128,130,9044,9194,150
24,2,1,5,1,398.6666666666667,118.66666666666667,378,416,122,117,9644,9744,100
24,2,1,5,1,477.0,120.0,451,500,119,122,9995,10095,100
24,2,1,5,1,578.4,116.0,511,619,121,116,10394,10593,199
24,2,1,5,1,686.7142857142857,118.28571428571429,647,721,117,120,10793,11094,301
24,2,1,5,1,239.25,141.75,549,97,106,161,11445,11593,148
24,2,1,5,1,226.33333333333334,159.83333333333334,121,292,160,161,11894,12143,249
24,2,1,5,1,398.3636363636364,163.9090909090909,311,500,161,164,12444,12944,500
24,2,1,5,1,566.3333333333334,166.33333333333334,542,585,165,168,13245,13344,99
24,2,1,9,2,161.8,43.2,120,201,42,44,1809,2009,200
24,2,1,9,2,281.0,41.25,218,331,42,41,2310,2460,150
24,2,1,9,2,414.25,37.5,362,447,40,38,2810,2960,150
24,2,1,9,2,539.6666666666666,35.0,472,592,36,37,3360,3610,250
24,2,1,9,2,667.6666666666666,37.333333333333336,633,696,37,38,3909,4009,100
24,2,1,9,2,264.0,54.75,536,144,34,71,4309,4459,150
24,2,1,9,2,241.9090909090909,83.63636363636364,150,319,79,81,4860,5359,499
24,2,1,9,2,390.0,86.0,327,444,81,88,5659,5960,301
24,2,1,9,2,523.25,85.25,472,559,86,85,6259,6409,150
24,2,1,9,2,666.8,84.8,611,704,84,86,6760,6959,199
24,2,1,9,2,739.0,88.66666666666667,721,757,88,89,7109,7210,101
24,2,1,9,2,267.5,111.25,590,103,69,140,7309,7460,151
24,2,1,9,2,227.0,118.83333333333333,150,282,118,122,7910,8159,249
