expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,right_bounded_rt2,go_pass_time,FPFix,FPReg
1,1,5,ordered,7,Yes,Yes,1,245.0,724.0,245.0,724.0,724,1076.0,1,1
1,1,5,the,8,Yes,Yes,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,5,materials,9,Yes,Yes,1,423.0,423.0,423.0,423.0,423,423.0,1,0
1,1,5,for,10,Yes,Yes,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,5,the,11,Yes,Yes,1,225.0,225.0,225.0,225.0,225,225.0,1,0
1,1,5,house.,12,Yes,Yes,1,251.0,251.0,251.0,251.0,251,251.0,1,0
1,1,6,The,0,Yes,Yes,1,400.0,400.0,400.0,400.0,400,400.0,1,0
1,1,6,police,1,Yes,Yes,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,6,arrested,2,Yes,Yes,1,648.0,648.0,648.0,648.0,648,648.0,1,0
1,1,6,the,3,Yes,Yes,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,6,burglar,4,Yes,Yes,1,599.0,1152.0,599.0,599.0,599,599.0,1,0
1,1,6,and,5,Yes,Yes,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,6,his,6,Yes,Yes,1,874.0,1308.0,874.0,874.0,874,874.0,1,0
1,1,6,brother,7,Yes,Yes,1,175.0,596.0,175.0,175.0,175,175.0,1,0
1,1,6,phoned,8,Yes,Yes,1,576.0,1055.0,576.0,576.0,576,576.0,1,0
1,1,6,a,9,Yes,Yes,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,6,lawyer,10,Yes,Yes,1,422.0,922.0,422.0,422.0,422,422.0,1,0
1,1,6,for,11,Yes,Yes,1,201.0,201.0,201.0,201.0,201,201.0,1,0
1,1,6,help.,12,Yes,Yes,1,398.0,616.0,398.0,616.0,616,3003.0,1,1
1,1,7,The,0,No,No,1,574.0,574.0,574.0,574.0,574,574.0,1,0
1,1,7,knight,1,No,No,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,7,greeted,2,No,No,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,7,the,3,No,No,1,474.0,474.0,474.0,474.0,474,474.0,1,0
1,1,7,king,4,No,No,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,7,and,5,No,No,1,175.0,175.0,175.0,175.0,175,175.0,1,0
1,1,7,the,6,No,No,1,408.0,408.0,408.0,408.0,408,408.0,1,0
1,1,7,queen,7,No,No,1,217.0,217.0,217.0,217.0,217,217.0,1,0
1,1,7,waved,8,No,No,1,625.0,625.0,625.0,625.0,625,625.0,1,0
1,1,7,to,9,No,No,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,7,her,10,No,No,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,7,people,11,No,No,1,352.0,352.0,352.0,352.0,352,352.0,1,0
1,1,7,at,12,No,No,1,0.0,0.0,0.0,0.0,0,0.0,0,0
1,1,7,the,13,No,No,1,199.0,199.0,199.0,199.0,199,199.0,1,0
1,1,7,feast.,14,No,No,1,0.0,0.0,0.0,0.0,0,0.0,0,0
