sbm_id,expr_id,cond_id,trial_id,para_nr,word_nr,word,x_mean,y_mean,start_t,end_t,duration
4,2,1,7,1,0, There ,126.375,34.0,1422,1773,351
4,2,1,7,1,5, Apple ,343.0,38.0,2973,3221,248
4,2,1,7,1,12," space, ",701.0,41.0,4871,4973,102
4,2,1,7,1,13, though ,124.0,75.28571428571429,5723,6023,300
4,2,1,7,1,18, its ,400.0,83.0,7472,7772,300
4,2,1,7,1,19, customary ,462.5,81.5,7972,8121,149
4,2,1,7,1,24, have ,706.6666666666666,77.0,9471,9572,101
4,2,1,7,1,26, microphone ,113.8,116.2,10372,10572,200
4,2,1,7,1,31, can ,357.0,123.0,11826,12172,346
4,2,1,7,1,40, phone. ,677.0,117.0,13871,13972,101
4,2,1,7,1,40, phone. ,688.8,117.0,14072,14522,450
4,2,1,7,1,41, You ,727.0,117.8,14722,14921,199
4,2,1,7,1,43, glance ,129.4,170.0,15721,15923,202
4,2,1,7,1,43, glance ,150.0,167.33333333333334,16022,16122,100
4,2,1,7,1,49, view ,361.0,161.0,17271,17622,351
4,2,1,2,2,0, Two ,111.75,38.125,1116,1463,347
4,2,1,2,2,6, Richard ,413.0,45.0,3013,3314,301
4,2,1,2,2,10, the ,679.6666666666666,38.333333333333336,4413,4514,101
4,2,1,2,2,11, interesting ,116.0,81.6,5165,5613,448
4,2,1,2,2,13, group ,270.0,84.75,6264,6414,150
4,2,1,2,2,14, through ,341.375,84.0,6864,7214,350
4,2,1,2,2,18, he ,542.8888888888889,84.0,8114,8513,399
4,2,1,2,2,25, patches ,178.83333333333334,125.66666666666667,10163,10414,251
4,2,1,2,2,28, bright ,317.2,121.0,11064,11263,199
4,2,1,2,2,32, over ,486.57142857142856,118.0,12114,12416,302
4,2,1,2,2,40, his ,136.14285714285714,164.42857142857142,14514,14813,299
4,2,1,2,2,45, there ,417.0,162.0,16214,16715,501
4,2,1,2,2,54, was ,130.85714285714286,201.71428571428572,19115,19413,298
4,2,1,2,2,58, aurora. ,303.29411764705884,201.35294117647058,20015,20815,800
4,2,1,2,2,44, night ,345.3333333333333,170.0,21014,21117,103
4,2,1,11,3,1, agree ,104.125,42.5,1666,2016,350
4,2,1,11,3,2, that ,158.375,45.875,2216,2566,350
4,2,1,11,3,3, California's ,207.0,46.0,2816,3266,450
4,2,1,11,3,7, you're ,438.5882352941176,43.88235294117647,5268,6067,799
4,2,1,11,3,7, you're ,457.5,46.0,6216,6367,151
