sbm_id,expr_id,cond_id,trial_id,para_nr,word_nr,word,x_mean,y_mean,start_t,end_t,duration
96,2,1,9,1,0, There ,107.75,35.5,934,1079,145
96,2,1,9,1,2, now ,200.33333333333334,39.0,1478,1731,253
96,2,1,9,1,2, now ,196.0,44.333333333333336,2879,3131,252
96,2,1,9,1,5, Apple ,338.2857142857143,42.0,3385,3679,294
96,2,1,9,1,7, soon ,465.0,38.0,3929,4178,249
96,2,1,9,1,10, smart ,609.75,36.75,4880,5030,150
96,2,1,9,1,13, though ,113.0,83.66666666666667,6080,6480,400
96,2,1,9,1,15, company ,256.25,81.5,8183,8332,149
96,2,1,9,1,19, customary ,456.0,78.0,8732,8980,248
96,2,1,9,1,20, silence. ,554.1666666666666,85.0,9283,9532,249
96,2,1,9,1,22, watch ,599.0,80.0,11282,11532,250
96,2,1,9,1,26, microphone ,114.14285714285714,119.14285714285714,11985,12278,293
96,2,1,9,1,28," speaker, ",238.85714285714286,115.57142857142857,12583,12882,299
96,2,1,9,1,29, but ,306.5,127.0,13082,13330,248
96,2,1,9,1,35, control ,457.85714285714283,128.0,13635,13934,299
96,2,1,9,1,38, on ,609.375,125.0,14236,14580,344
96,2,1,9,1,41, You ,749.0,129.0,15033,15135,102
96,2,1,9,1,42, can ,105.0,162.2,15742,15936,194
96,2,1,9,1,45, the ,225.5,163.0,16185,16334,149
96,2,1,9,1,47, face ,299.0,168.0,16835,16986,151
96,2,1,9,1,50, the ,418.0,161.0,17282,17530,248
96,2,1,9,1,46, face ,289.125,155.25,18482,18835,353
96,2,1,9,1,46, watch ,263.0,165.75,19035,19181,146
96,2,1,9,1,50, the ,392.0,155.0,19587,19780,193
96,2,1,15,2,3, the ,219.4,48.9,1452,1907,455
96,2,1,15,2,5, astronomer ,345.8,43.0,2804,3004,200
96,2,1,15,2,7, Carrington ,471.2857142857143,41.0,3204,3498,294
96,2,1,15,2,7, Carrington ,535.0,34.0,3709,3852,143
96,2,1,15,2,9, observing ,613.6666666666666,41.0,4403,4651,248
96,2,1,15,2,11, interesting ,130.66666666666666,71.66666666666667,5405,5509,104
96,2,1,15,2,13, group ,299.14285714285717,82.0,5910,6206,296
96,2,1,15,2,12, sunspot ,194.0,81.0,6453,6600,147
96,2,1,15,2,14, through ,331.0,82.0,7053,7204,151
96,2,1,15,2,14, through ,343.0,82.0,7853,7957,104
96,2,1,15,2,19, saw ,555.625,85.0,8252,8599,347
96,2,1,15,2,27, intensely ,272.6,115.0,10406,10599,193
96,2,1,15,2,30, white ,392.0,126.42857142857143,11053,11350,297
96,2,1,15,2,30, white ,419.0,109.0,11599,11799,200
96,2,1,15,2,33, the ,533.2857142857143,124.0,12799,13100,301
96,2,1,15,2,36, jotted ,700.0,117.2,13600,13805,205
96,2,1,15,2,35, He ,642.0,121.0,14005,14108,103
96,2,1,15,2,40, his ,114.2,162.0,15099,15308,209
96,2,1,15,2,43, That ,307.3333333333333,163.0,16299,16399,100
96,2,1,15,2,43, That ,320.85714285714283,163.0,16501,16805,304
96,2,1,15,2,42, record. ,239.4,158.4,17150,17351,201
96,2,1,15,2,44, night ,348.8,158.0,18301,18502,201
96,2,1,15,2,56, illuminated ,250.8,206.0,21001,21206,205
96,2,1,17,3,3, California's ,217.0,45.0,1395,1694,299
96,2,1,17,3,5, strikes ,360.5,43.0,1944,2190,246
96,2,1,17,3,7, you're ,463.8,43.0,2500,2694,194
96,2,1,17,3,13, financial ,658.2,35.6,3197,3395,198
96,2,1,17,3,14, disaster ,721.0,40.0,3641,3743,102
96,2,1,17,3,10, will ,573.0,42.0,3993,4100,107
96,2,1,17,3,20, education ,339.0,85.0,5995,6148,153
96,2,1,17,3,23, vital ,504.0,74.0,6642,6796,154
96,2,1,17,3,28, from ,697.0,79.0,7394,7542,148
96,2,1,17,3,35, be ,338.2,123.0,8796,8996,200
96,2,1,17,3,39, reduction ,526.0,122.0,9345,9501,156
96,2,1,17,3,44, While ,714.8,122.0,9994,10195,201
96,2,1,17,3,45, it's ,105.4,152.8,10445,10642,197
