sbm_id,expr_id,cond_id,trial_id,para_nr,word_nr,word,x_mean,y_mean,start_t,end_t,duration
16,2,1,13,1,3, rumblings ,6.0,12.0,1632,1864,232
16,2,1,13,1,6, might ,18.833333333333332,18.0,3197,3498,301
16,2,1,13,1,8, invade ,524.0,49.0,4036,4268,232
16,2,1,13,1,19, customary ,1.0,10.0,8379,8679,300
16,2,1,13,1,21, The ,16.333333333333332,8.666666666666666,9797,9914,117
16,2,1,13,1,23, doesn't ,40.0,14.0,10630,10814,184
16,2,1,13,1,16, is ,6.0,12.0,11298,11468,170
16,2,1,13,1,28," speaker, ",278.0,128.0,13776,14192,416
16,2,1,13,1,34, to ,16.0,14.0,15596,15781,185
16,2,1,13,1,40, phone. ,665.75,129.0,16765,16943,178
16,2,1,13,1,39, your ,36.0,12.0,17745,17869,124
16,2,1,13,1,44, at ,14.0,16.0,19633,19872,239
16,2,1,13,1,45, the ,14.75,7.25,19987,20172,185
16,2,1,13,1,47, face ,33.55555555555556,16.88888888888889,20553,21037,484
16,2,1,13,1,49, view ,37.0,9.0,21540,21777,237
16,2,1,13,1,53, title ,29.0,3.0,22797,23097,300
16,2,1,18,2,2," later, ",21.4,6.0,3234,3505,271
16,2,1,18,2,1, days ,24.097560975609756,12.0,3702,6123,2421
16,2,1,18,2,2," later, ",212.33333333333334,49.666666666666664,7865,7981,116
16,2,1,18,2,2," later, ",16.0,12.0,9269,9686,417
16,2,1,18,2,5, astronomer ,48.5625,15.0,10321,11222,901
16,2,1,18,2,4, British ,42.0,14.0,12024,12263,239
16,2,1,18,2,5, astronomer ,51.0,18.0,12627,12742,115
16,2,1,18,2,6, Richard ,28.0,5.0,13043,13398,355
16,2,1,18,2,7, Carrington ,49.0,7.0,13767,13946,179
16,2,1,18,2,9, observing ,41.0,13.0,14601,14733,132
16,2,1,18,2,11, interesting ,-597.6666666666666,50.333333333333336,16109,16236,127
16,2,1,18,2,11, interesting ,-561.3333333333334,40.0,16412,16527,115
16,2,1,18,2,12, sunspot ,43.07692307692308,6.0,16891,17608,717
16,2,1,18,2,12, sunspot ,10.0,10.0,17835,18680,845
16,2,1,18,2,13, group ,16.9375,9.0,19044,19947,903
16,2,1,18,2,14, through ,58.0,19.0,20302,20486,184
16,2,1,18,2,16, telescope ,14.0,18.0,20750,21289,539
16,2,1,18,2,0, Two ,31.285714285714285,11.0,22111,22454,343
16,2,1,18,2,2," later, ",1.2857142857142858,12.0,22857,23626,769
16,2,1,18,2,4, British ,7.5,18.0,23911,24215,304
16,2,1,18,2,8, was ,5.4,8.0,32238,32484,246
16,2,1,18,2,12, sunspot ,48.0,14.0,38411,38542,131
16,2,1,18,2,11, interesting ,-554.0,49.333333333333336,39074,39206,132
16,2,1,18,2,12, sunspot ,63.142857142857146,14.0,39652,40023,371
16,2,1,18,2,12, sunspot ,21.5,17.0,40209,40379,170
16,2,1,18,2,13, group ,25.75,13.625,40679,41100,421
16,2,1,18,2,16, telescope ,31.333333333333332,5.0,41650,41768,118
16,2,1,18,2,17, when ,13.571428571428571,14.0,42067,42414,347
16,2,1,18,2,20, what ,14.428571428571429,9.0,42951,43314,363
16,2,1,18,2,22, described ,61.0,11.857142857142858,43954,44319,365
16,2,1,18,2,20, what ,27.0,14.0,44488,44619,131
16,2,1,18,2,22, described ,18.75,8.0,44918,45087,169
16,2,1,18,2,22, described ,80.0,10.0,45335,45518,183
16,2,1,18,2,24," ""two ",-638.6666666666666,58.0,46590,47261,671
16,2,1,18,2,27, intensely ,32.1,14.0,47809,48339,530
16,2,1,18,2,30, white ,4.0,13.0,49063,49295,232
16,2,1,18,2,31," light"" ",41.0,12.0,49664,49898,234
16,2,1,18,2,35, He ,15.0,4.0,50714,50884,170
16,2,1,18,2,37, a ,11.0,9.0,51134,51300,166
16,2,1,18,2,41, painstaking ,48.6,12.6,52771,53004,233
16,2,1,18,2,44, night ,15.333333333333334,6.666666666666667,53672,53788,116
16,2,1,18,2,45, there ,16.428571428571427,14.142857142857142,54034,54387,353
16,2,1,18,2,47, scarcely ,69.0,11.0,54804,55105,301
16,2,1,18,2,53, that ,739.0,170.0,56609,56725,116
16,2,1,18,2,58, aurora. ,26.0,14.0,59000,59115,115
16,2,1,18,2,6, Richard ,427.0,49.0,62389,62504,115
16,2,1,18,2,14, through ,54.0,12.0,65436,65725,289
16,2,1,18,2,17, when ,37.0,14.0,66476,66714,238
16,2,1,18,2,25, patches ,50.666666666666664,18.0,68803,68919,116
16,2,1,18,2,27, intensely ,14.0,8.0,69156,69583,427
16,2,1,18,2,31," light"" ",12.0,9.0,70624,70987,363
16,2,1,18,2,36, jotted ,14.5,10.0,72254,72676,422
16,2,1,18,2,41, painstaking ,45.666666666666664,14.0,74679,74795,116
16,2,1,18,2,42, record. ,59.4,14.0,75468,75697,229
16,2,1,18,2,44, night ,15.0,10.0,76051,76352,301
16,2,1,18,2,47, scarcely ,480.3333333333333,170.0,76820,76937,117
16,2,1,18,2,47, scarcely ,62.75,16.0,77302,77500,198
16,2,1,18,2,47, scarcely ,9.0,16.25,78039,78222,183
16,2,1,18,2,49, square ,16.0,11.0,79004,79357,353
16,2,1,18,2,54, was ,-632.5,50.75,80856,81045,189
16,2,1,8,3,1, agree ,11.0,18.0,2283,2461,178
16,2,1,8,3,4," ""three ",7.0,2.0,3447,3562,115
16,2,1,8,3,8," out"" ",27.0,19.0,4850,5087,237
16,2,1,8,3,13, financial ,8.0,14.0,5750,5920,170
16,2,1,8,3,20, education ,16.666666666666668,10.0,8693,9157,464
16,2,1,8,3,22, other ,22.0,8.0,9859,10161,302
16,2,1,8,3,25, But ,8.0,6.0,11064,11367,303
16,2,1,8,3,30, that ,172.0,130.0,13473,13709,236
16,2,1,8,3,32, law ,25.0,8.666666666666666,13886,14009,123
16,2,1,8,3,33, can ,10.0,10.0,14242,14487,245
