sbm_id,expr_id,cond_id,trial_id,para_nr,word_nr,word,x_mean,y_mean,start_t,end_t,duration
108,2,1,11,1,0, There ,30.0,10.0,7646,7761,115
108,2,1,11,1,2, now ,0.16666666666666666,16.0,8077,8678,601
108,2,1,11,1,3, rumblings ,71.2,18.0,8856,9390,534
108,2,1,11,1,5, Apple ,24.0,15.0,9577,9908,331
108,2,1,11,1,13, though ,-601.0,58.0,12519,12762,243
108,2,1,11,1,16, is ,5.0,15.0,13496,13620,124
108,2,1,11,1,13, though ,-602.0,55.0,13976,14695,719
108,2,1,11,1,19, customary ,19.0,13.666666666666666,15735,15856,121
108,2,1,11,1,19, customary ,73.33333333333333,13.0,16106,16229,123
108,2,1,11,1,20, silence. ,22.833333333333332,13.0,16476,16781,305
108,2,1,11,1,20, silence. ,37.0,13.2,16906,17150,244
108,2,1,11,1,34, to ,12.333333333333334,10.0,20721,21020,299
108,2,1,11,1,36, the ,12.5,11.0,21266,21443,177
108,2,1,11,1,37, music ,39.0,12.0,21684,21805,121
108,2,1,11,1,39, your ,15.333333333333334,14.666666666666666,22116,22237,121
108,2,1,11,1,41, You ,20.25,11.0,22971,23394,423
108,2,1,11,1,42, can ,-645.25,56.75,24375,24563,188
108,2,1,11,1,46, watch ,17.5,13.75,25405,25585,180
108,2,1,11,1,47, face ,34.0,11.0,25707,25999,292
108,2,1,11,1,52, and ,10.0,0.0,26850,26970,120
108,2,1,11,1,53, title ,11.0,11.0,27211,27331,120
108,2,1,11,1,55, a ,5.2,3.2,27518,27761,243
108,2,1,11,1,56, song. ,18.75,9.75,27944,28125,181
108,2,1,6,2,0, Two ,24.666666666666668,9.666666666666666,1338,1822,484
108,2,1,6,2,1, days ,4.0,10.0,8455,8744,289
108,2,1,6,2,3, the ,4.0,10.0,9034,9514,480
108,2,1,6,2,5, astronomer ,35.0,13.11111111111111,10168,10640,472
108,2,1,6,2,6, Richard ,8.416666666666666,12.25,11089,11742,653
108,2,1,6,2,6, Richard ,52.375,13.0,11867,12288,421
108,2,1,6,2,7, Carrington ,65.0,18.0,12468,12829,361
108,2,1,6,2,8, was ,22.0,11.0,13071,13193,122
108,2,1,6,2,10, the ,3.3333333333333335,13.0,13609,13729,120
108,2,1,6,2,11, interesting ,-574.8888888888889,57.0,14512,15000,488
108,2,1,6,2,12, sunspot ,33.625,15.0,15234,15642,408
108,2,1,6,2,13, group ,17.0,17.0,15826,16113,287
108,2,1,6,2,13, group ,36.25,13.125,16229,16645,416
108,2,1,6,2,12, sunspot ,31.125,10.0,16883,17286,403
108,2,1,6,2,13, group ,38.0,14.0,17466,17886,420
108,2,1,6,2,14, through ,53.0,14.0,18128,18427,299
108,2,1,6,2,16, telescope ,43.0,18.0,18665,18844,179
108,2,1,6,2,17, when ,7.0,18.0,19092,19268,176
108,2,1,6,2,19, saw ,4.0,18.0,19385,19506,121
108,2,1,6,2,22, described ,3.0,18.0,19868,19990,122
108,2,1,6,2,22, described ,69.66666666666667,17.666666666666668,20176,20292,116
108,2,1,6,2,24," ""two ",-637.5,54.0,21178,21467,289
108,2,1,6,2,25, patches ,49.0,14.0,21762,21930,168
108,2,1,6,2,27, intensely ,37.8,14.0,22105,22342,237
108,2,1,6,2,27, intensely ,69.75,17.0,22462,22645,183
108,2,1,6,2,28, bright ,38.5,16.75,22883,23063,180
108,2,1,6,2,29, and ,27.8,15.0,23236,23480,244
108,2,1,6,2,30, white ,44.0,15.0,23659,23834,175
108,2,1,6,2,31," light"" ",42.0,15.0,24018,24194,176
108,2,1,6,2,34, sunspots. ,546.5,128.0,24434,24612,178
108,2,1,6,2,34, sunspots. ,68.75,14.0,24844,25506,662
108,2,1,6,2,36, jotted ,9.0,15.0,25697,25942,245
108,2,1,6,2,43, That ,20.4,14.0,28258,29140,882
108,2,1,6,2,43, That ,37.0,14.0,29268,29708,440
108,2,1,6,2,45, there ,24.0,17.666666666666668,29835,30149,314
108,2,1,6,2,47, scarcely ,9.0,14.75,30339,30527,188
108,2,1,6,2,47, scarcely ,44.5,10.0,30717,30906,189
